C:\behvdata\clash\clashMEG	 August 05, 2014 09:19:44	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        37.000000 	       200.000000 	        31.000000 	        64.000000 	         2.000000 	         2.000000 	        20.000000 	         0.717522 	        51.000000 	         1.000000 	        13.000000 	         6.000000 	         2.000000 	         1.006399 	         0.000000 	         1.000000 	      3393.000000 	        34.073973 	        64.553722 	      2608.478794 	      1647.060907 	      1649.073654 	      1649.846751 	      1650.259968 	      1652.072766 	      1653.139111 	         0.800000 	         2.000000 	         0.400000 	         1.800000 	  
        37.000000 	       201.000000 	        36.000000 	        67.000000 	         1.000000 	         2.000000 	        20.000000 	         1.892907 	        20.000000 	         2.000000 	        47.000000 	         1.000000 	         1.000000 	         1.352979 	         0.000000 	         0.000000 	      3393.000000 	        35.379669 	        62.434469 	      2608.478794 	      1654.245457 	      1656.458134 	      1658.417556 	      1658.924082 	      1660.830177 	      1662.243101 	         1.100000 	         2.200000 	         0.500000 	         1.900000 	  
        37.000000 	       202.000000 	        41.000000 	        59.000000 	         2.000000 	         2.000000 	        20.000000 	         0.482124 	        47.000000 	         1.000000 	        12.000000 	         7.000000 	         2.000000 	         1.073091 	         0.000000 	         1.000000 	      3405.000000 	        38.391426 	        60.799565 	      2608.478794 	      1663.056196 	      1665.268871 	      1665.815380 	      1666.321893 	      1668.534582 	      1669.667578 	         0.800000 	         2.200000 	         0.500000 	         2.200000 	  
        37.000000 	       203.000000 	        49.000000 	        55.000000 	         1.000000 	         2.000000 	        20.000000 	         0.564481 	        22.000000 	         6.000000 	        33.000000 	         2.000000 	         1.000000 	         1.175686 	         0.000000 	         0.000000 	      3405.000000 	        41.466949 	        58.694217 	      2608.478794 	      1670.573971 	      1672.586712 	      1673.213194 	      1673.626411 	      1675.639142 	      1676.878774 	         0.900000 	         2.000000 	         0.400000 	         2.000000 	  
        37.000000 	       204.000000 	        41.000000 	        58.000000 	         2.000000 	         2.000000 	        20.000000 	         0.670396 	        41.000000 	         2.000000 	        17.000000 	         5.000000 	         2.000000 	         1.034179 	         1.000000 	         1.000000 	      3422.000000 	        46.820014 	        56.562599 	      2608.478794 	      1677.891819 	      1679.704611 	      1680.437735 	      1680.850954 	      1682.956995 	      1684.050015 	         1.000000 	         1.800000 	         0.400000 	         2.100000 	  
        37.000000 	       205.000000 	        49.000000 	        53.000000 	         2.000000 	         2.000000 	        20.000000 	         0.651055 	        37.000000 	         7.000000 	        16.000000 	         8.000000 	         1.000000 	         1.414788 	         0.000000 	         1.000000 	      3422.000000 	        50.816076 	        53.622184 	      2608.478794 	      1685.262974 	      1687.475661 	      1688.182116 	      1688.595329 	      1690.408119 	      1691.887694 	         1.200000 	         2.200000 	         0.400000 	         1.800000 	  
        37.000000 	       206.000000 	        53.000000 	        55.000000 	         1.000000 	         2.000000 	        20.000000 	         0.509490 	         5.000000 	         6.000000 	        50.000000 	         2.000000 	         2.000000 	         2.373898 	         1.000000 	         1.000000 	      3472.000000 	        52.554994 	        52.664204 	      2608.478794 	      1693.100659 	      1695.113399 	      1695.686563 	      1696.299725 	      1698.312457 	      1700.751761 	         1.200000 	         2.000000 	         0.600000 	         2.000000 	  
        37.000000 	       207.000000 	        54.000000 	        52.000000 	         2.000000 	         2.000000 	        20.000000 	         0.631509 	        42.000000 	         9.000000 	        10.000000 	         3.000000 	         1.000000 	         0.969279 	         0.000000 	         0.000000 	      3472.000000 	        54.167236 	        51.220418 	      2608.478794 	      1701.858075 	      1703.670873 	      1704.364012 	      1704.777218 	      1706.789959 	      1707.816330 	         1.100000 	         1.800000 	         0.400000 	         2.000000 	  
        37.000000 	       208.000000 	        50.000000 	        48.000000 	         1.000000 	         2.000000 	        20.000000 	         0.556634 	         5.000000 	         5.000000 	        43.000000 	         8.000000 	         2.000000 	         1.064085 	         1.000000 	         1.000000 	      3515.000000 	        53.365750 	        47.988676 	      2608.478794 	      1709.029293 	      1710.842099 	      1711.455250 	      1711.961760 	      1714.174453 	      1715.294111 	         1.200000 	         1.800000 	         0.500000 	         2.200000 	  
        37.000000 	       209.000000 	        49.000000 	        47.000000 	         2.000000 	         2.000000 	        20.000000 	         0.630458 	        33.000000 	         8.000000 	        14.000000 	         1.000000 	         1.000000 	         0.754594 	         0.000000 	         0.000000 	      3515.000000 	        54.644545 	        45.696534 	      2608.478794 	      1716.307157 	      1718.519829 	      1719.212960 	      1719.719485 	      1721.532280 	      1722.345371 	         1.000000 	         2.200000 	         0.500000 	         1.800000 	  
