C:\behvdata\clash\clashMEG	 August 06, 2014 10:59:41	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       38.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         1.075577 	        15.000000 	         2.000000 	        35.000000 	         6.000000 	         2.000000 	         0.766955 	         0.000000 	         1.000000 	        35.000000 	        50.000000 	        50.000000 	      8865.964440 	         0.000000 	         2.012485 	         3.145731 	         3.558951 	         5.664997 	         6.491408 	         0.900000 	         2.000000 	         0.400000 	         2.100000 	  
        38.000000 	         2.000000 	        45.000000 	        48.000000 	         2.000000 	         1.000000 	        15.000000 	         0.602739 	        13.000000 	         1.000000 	        32.000000 	         7.000000 	         2.000000 	         0.629876 	         1.000000 	         0.000000 	        35.000000 	        48.772989 	        51.849240 	      8865.964440 	         7.304509 	         9.117310 	         9.783772 	        10.396934 	        12.209722 	        12.902849 	         0.800000 	         1.800000 	         0.600000 	         1.800000 	  
        38.000000 	         3.000000 	        44.000000 	        49.000000 	         1.000000 	         1.000000 	        15.000000 	         0.662673 	        18.000000 	         8.000000 	        26.000000 	         5.000000 	         1.000000 	         1.549148 	         1.000000 	         0.000000 	        53.000000 	        45.527819 	        51.972276 	      8865.964440 	        14.115825 	        16.128574 	        16.848359 	        17.261573 	        19.274312 	        20.887159 	         1.200000 	         2.000000 	         0.400000 	         2.000000 	  
        38.000000 	         4.000000 	        44.000000 	        53.000000 	         2.000000 	         1.000000 	        15.000000 	         0.734452 	        31.000000 	         4.000000 	        13.000000 	         1.000000 	         1.000000 	         0.940623 	         1.000000 	         0.000000 	        84.000000 	        44.641703 	        54.225312 	      8865.964440 	        22.100145 	        24.112876 	        24.912649 	        25.325861 	        27.538536 	        28.538241 	         1.200000 	         2.000000 	         0.400000 	         2.200000 	  
        38.000000 	         5.000000 	        38.000000 	        56.000000 	         2.000000 	         1.000000 	        15.000000 	         0.723367 	        30.000000 	         6.000000 	         8.000000 	         7.000000 	         1.000000 	         0.588378 	         0.000000 	         1.000000 	        84.000000 	        41.918647 	        56.076621 	      8865.964440 	        29.751212 	        31.564013 	        32.350447 	        32.856976 	        34.763071 	        35.416208 	         1.200000 	         1.800000 	         0.500000 	         1.900000 	  
        38.000000 	         6.000000 	        39.000000 	        56.000000 	         2.000000 	         2.000000 	        15.000000 	         0.805060 	        17.000000 	         8.000000 	        39.000000 	         1.000000 	         2.000000 	         1.584671 	         1.000000 	         0.000000 	        69.000000 	        41.461270 	        57.511987 	      8865.964440 	        36.629180 	        38.441984 	        39.308395 	        39.721612 	        41.934284 	        43.573799 	         1.200000 	         1.800000 	         0.400000 	         2.200000 	  
        38.000000 	         7.000000 	        42.000000 	        52.000000 	         1.000000 	         2.000000 	        15.000000 	         0.599553 	        10.000000 	         5.000000 	        42.000000 	         2.000000 	         2.000000 	         0.920339 	         1.000000 	         1.000000 	       111.000000 	        43.840323 	        55.381970 	      8865.964440 	        44.786784 	        46.599595 	        47.252712 	        47.865878 	        50.078545 	        51.064924 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
        38.000000 	         8.000000 	        51.000000 	        51.000000 	         2.000000 	         2.000000 	        15.000000 	         0.591093 	         5.000000 	         8.000000 	        46.000000 	         6.000000 	         2.000000 	         0.975702 	         1.000000 	         0.000000 	       111.000000 	        46.305002 	        54.521536 	      8865.964440 	        51.971321 	        53.984066 	        54.637199 	        55.250352 	        57.263093 	        58.302791 	         0.900000 	         2.000000 	         0.600000 	         2.000000 	  
        38.000000 	         9.000000 	        53.000000 	        52.000000 	         1.000000 	         2.000000 	        15.000000 	         0.382034 	         5.000000 	         2.000000 	        47.000000 	         4.000000 	         2.000000 	         0.889724 	         0.000000 	         0.000000 	       111.000000 	        47.614546 	        53.464143 	      8865.964440 	        59.115887 	        61.128619 	        61.568488 	        62.075016 	        64.181060 	        65.127437 	         0.800000 	         2.000000 	         0.500000 	         2.100000 	  
        38.000000 	        10.000000 	        50.000000 	        44.000000 	         2.000000 	         2.000000 	        15.000000 	         0.552827 	        13.000000 	         7.000000 	        31.000000 	         1.000000 	         1.000000 	         1.212161 	         1.000000 	         0.000000 	       124.000000 	        50.233314 	        50.216044 	      8865.964440 	        66.233785 	        68.046585 	        68.659727 	        69.166250 	        71.178987 	        72.445281 	         1.100000 	         1.800000 	         0.500000 	         2.000000 	  
        38.000000 	        11.000000 	        51.000000 	        46.000000 	         2.000000 	         2.000000 	        15.000000 	         0.538537 	        14.000000 	         6.000000 	        32.000000 	         3.000000 	         1.000000 	         1.259403 	         0.000000 	         0.000000 	       124.000000 	        51.295199 	        47.036748 	      8865.964440 	        73.351682 	        75.364425 	        75.964244 	        76.470664 	        78.483494 	        79.803109 	         0.900000 	         2.000000 	         0.500000 	         2.000000 	  
        38.000000 	        12.000000 	        50.000000 	        54.000000 	         1.000000 	         2.000000 	        15.000000 	         0.521661 	        32.000000 	         5.000000 	        22.000000 	         7.000000 	         2.000000 	         2.541149 	         1.000000 	         1.000000 	       146.000000 	        53.326143 	        47.792399 	      8865.964440 	        81.016092 	        83.028821 	        83.615320 	        84.028530 	        86.241212 	        88.840443 	         1.200000 	         2.000000 	         0.400000 	         2.200000 	  
        38.000000 	        13.000000 	        61.000000 	        42.000000 	         2.000000 	         2.000000 	        15.000000 	         1.220545 	         4.000000 	         7.000000 	        38.000000 	         8.000000 	         2.000000 	         0.933814 	         1.000000 	         1.000000 	       184.000000 	        57.176596 	        46.156883 	      8865.964440 	        89.853484 	        92.066157 	        93.345787 	        93.852304 	        95.665090 	        96.664806 	         1.000000 	         2.200000 	         0.500000 	         1.800000 	  
        38.000000 	        14.000000 	        57.000000 	        45.000000 	         2.000000 	         2.000000 	        15.000000 	         0.566799 	        40.000000 	         1.000000 	         5.000000 	         9.000000 	         2.000000 	         1.097650 	         0.000000 	         1.000000 	       189.000000 	        58.371220 	        43.198597 	      8865.964440 	        97.771139 	        99.583943 	       100.210418 	       100.623631 	       102.636370 	       103.796030 	         1.100000 	         1.800000 	         0.400000 	         2.000000 	  
        38.000000 	        15.000000 	        64.000000 	        44.000000 	         2.000000 	         2.000000 	        15.000000 	         0.459493 	        13.000000 	         2.000000 	        31.000000 	         6.000000 	         2.000000 	         0.770088 	         0.000000 	         1.000000 	       220.000000 	        59.679548 	        41.402356 	      8865.964440 	       104.902376 	       107.115048 	       107.634898 	       108.248045 	       110.460730 	       111.287148 	         1.100000 	         2.200000 	         0.600000 	         2.200000 	  
