C:\behvdata\clash\clashMEG	 May 07, 2014 15:30:21	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        7.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         2.387295 	        20.000000 	         4.000000 	        30.000000 	         1.000000 	         1.000000 	         2.495147 	         0.000000 	         0.000000 	         0.000000 	        50.000000 	        50.000000 	     23975.238637 	         0.000000 	         2.012727 	         4.465337 	         5.078490 	         6.984602 	         9.543841 	         0.800000 	         2.000000 	         0.600000 	         1.900000 	  
         7.000000 	         2.000000 	        51.000000 	        53.000000 	         2.000000 	         2.000000 	        15.000000 	         1.710617 	        11.000000 	         8.000000 	        42.000000 	         2.000000 	         2.000000 	         2.273955 	         1.000000 	         0.000000 	       -15.000000 	        46.894484 	        53.218160 	     23975.238637 	        10.556874 	        12.769550 	        14.542237 	        14.955579 	        17.061623 	        19.394268 	         1.000000 	         2.200000 	         0.400000 	         2.100000 	  
         7.000000 	         3.000000 	        51.000000 	        47.000000 	         1.000000 	         2.000000 	        15.000000 	         1.998418 	         9.000000 	         2.000000 	        38.000000 	         8.000000 	         2.000000 	         1.199820 	         0.000000 	         1.000000 	        23.000000 	        48.586207 	        49.459448 	     23975.238637 	        20.300662 	        22.313397 	        24.366123 	        24.779344 	        26.792070 	        28.058362 	         0.900000 	         2.000000 	         0.400000 	         2.000000 	  
         7.000000 	         4.000000 	        54.000000 	        46.000000 	         2.000000 	         2.000000 	        15.000000 	         1.571949 	        41.000000 	         6.000000 	         5.000000 	         8.000000 	         1.000000 	         2.599203 	         1.000000 	         1.000000 	        64.000000 	        51.478510 	        49.035976 	     23975.238637 	        29.271348 	        31.284076 	        32.910271 	        33.523414 	        35.536162 	        38.202032 	         1.200000 	         2.000000 	         0.600000 	         2.000000 	  
         7.000000 	         5.000000 	        54.000000 	        48.000000 	         2.000000 	         2.000000 	        15.000000 	         1.614886 	         5.000000 	         3.000000 	        43.000000 	         1.000000 	         2.000000 	         2.223670 	         0.000000 	         0.000000 	        64.000000 	        53.703934 	        47.805421 	     23975.238637 	        39.308374 	        41.321113 	        43.000622 	        43.507136 	        45.719570 	        47.999139 	         1.100000 	         2.000000 	         0.500000 	         2.200000 	  
         7.000000 	         6.000000 	        55.000000 	        52.000000 	         1.000000 	         2.000000 	        15.000000 	         1.174293 	        36.000000 	         4.000000 	        16.000000 	         6.000000 	         2.000000 	         2.634556 	         0.000000 	         1.000000 	        80.000000 	        56.510989 	        45.995414 	     23975.238637 	        49.012166 	        50.824972 	        52.064602 	        52.570869 	        54.676968 	        57.369697 	         1.000000 	         1.800000 	         0.500000 	         2.100000 	  
         7.000000 	         7.000000 	        62.000000 	        44.000000 	         1.000000 	         2.000000 	        15.000000 	         1.118617 	         9.000000 	         4.000000 	        35.000000 	         8.000000 	         2.000000 	         1.410534 	         1.000000 	         1.000000 	       115.000000 	        58.743190 	        42.622437 	     23975.238637 	        58.276102 	        60.288843 	        61.461832 	        61.968339 	        63.981082 	        65.447315 	         0.900000 	         2.000000 	         0.500000 	         2.000000 	  
         7.000000 	         8.000000 	        56.000000 	        47.000000 	         1.000000 	         2.000000 	        15.000000 	         2.280466 	        14.000000 	         1.000000 	        33.000000 	         9.000000 	         2.000000 	         1.181577 	         0.000000 	         1.000000 	       148.000000 	        61.681122 	        41.684998 	     23975.238637 	        66.553647 	        68.766337 	        71.112311 	        71.525517 	        73.738197 	        74.977835 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
         7.000000 	         9.000000 	        65.000000 	        43.000000 	         2.000000 	         2.000000 	        15.000000 	         1.398690 	        17.000000 	         7.000000 	        26.000000 	         6.000000 	         2.000000 	         1.954563 	         1.000000 	         0.000000 	       148.000000 	        63.487433 	        40.359736 	     23975.238637 	        75.883977 	        78.096902 	        79.549803 	        80.056334 	        82.269004 	        84.281752 	         0.900000 	         2.200000 	         0.500000 	         2.200000 	  
         7.000000 	        10.000000 	        66.000000 	        32.000000 	         1.000000 	         1.000000 	        15.000000 	         3.387372 	        20.000000 	         8.000000 	        46.000000 	         3.000000 	         1.000000 	         1.650449 	         1.000000 	         1.000000 	       153.000000 	        66.060702 	        37.007852 	     23975.238637 	        85.294777 	        87.107574 	        90.559654 	        91.066401 	        93.172447 	        94.878609 	         1.000000 	         1.800000 	         0.500000 	         2.100000 	  
         7.000000 	        11.000000 	        69.000000 	        38.000000 	         2.000000 	         1.000000 	        20.000000 	         1.192889 	        62.000000 	         3.000000 	         7.000000 	         6.000000 	         1.000000 	         2.469276 	         1.000000 	         0.000000 	       215.000000 	        65.092397 	        38.761354 	     23975.238637 	        95.984947 	        97.797744 	        99.050716 	        99.556985 	       101.569963 	       104.102559 	         1.100000 	         1.800000 	         0.500000 	         2.000000 	  
         7.000000 	        12.000000 	        61.000000 	        42.000000 	         1.000000 	         1.000000 	        20.000000 	         1.462433 	        18.000000 	         9.000000 	        43.000000 	         1.000000 	         1.000000 	         1.452595 	         1.000000 	         0.000000 	       233.000000 	        62.173494 	        41.382839 	     23975.238637 	       105.315534 	       107.128322 	       108.647874 	       109.061090 	       111.273768 	       112.793313 	         1.200000 	         1.800000 	         0.400000 	         2.200000 	  
         7.000000 	        13.000000 	        55.000000 	        43.000000 	         1.000000 	         1.000000 	        20.000000 	         1.603904 	        33.000000 	         1.000000 	        22.000000 	         7.000000 	         2.000000 	         1.639697 	         0.000000 	         1.000000 	       255.000000 	        59.343213 	        44.370724 	     23975.238637 	       113.806348 	       115.819082 	       117.485261 	       118.098418 	       119.911212 	       121.617374 	         1.000000 	         2.000000 	         0.600000 	         1.800000 	  
         7.000000 	        14.000000 	        46.000000 	        49.000000 	         1.000000 	         1.000000 	        20.000000 	         1.203096 	        18.000000 	         4.000000 	        28.000000 	         3.000000 	         2.000000 	         2.766983 	         1.000000 	         1.000000 	       283.000000 	        56.325664 	        46.380380 	     23975.238637 	       122.830350 	       124.643145 	       125.909436 	       126.522598 	       128.735266 	       131.561107 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
         7.000000 	        15.000000 	        50.000000 	        49.000000 	         1.000000 	         1.000000 	        20.000000 	         1.709762 	        20.000000 	         9.000000 	        30.000000 	         5.000000 	         1.000000 	         2.015660 	         1.000000 	         0.000000 	       303.000000 	        54.213053 	        48.431662 	     23975.238637 	       132.467503 	       134.280301 	       136.053101 	       136.466322 	       138.279116 	       140.358507 	         0.900000 	         1.800000 	         0.400000 	         1.800000 	  
         7.000000 	        16.000000 	        50.000000 	        52.000000 	         1.000000 	         1.000000 	        20.000000 	         1.072768 	         5.000000 	         3.000000 	        45.000000 	         4.000000 	         2.000000 	         1.119464 	         0.000000 	         0.000000 	       303.000000 	        50.959299 	        50.210461 	     23975.238637 	       141.264901 	       143.077694 	       144.210691 	       144.717219 	       146.823254 	       148.009574 	         0.900000 	         1.800000 	         0.500000 	         2.100000 	  
         7.000000 	        17.000000 	        50.000000 	        56.000000 	         2.000000 	         1.000000 	        20.000000 	         1.509442 	         5.000000 	         5.000000 	        45.000000 	         4.000000 	         2.000000 	         1.654604 	         1.000000 	         1.000000 	       348.000000 	        49.952631 	        52.193337 	     23975.238637 	       149.115915 	       151.328591 	       152.901211 	       153.314670 	       155.327407 	       157.046907 	         1.100000 	         2.200000 	         0.400000 	         2.000000 	  
         7.000000 	        18.000000 	        47.000000 	        54.000000 	         2.000000 	         1.000000 	        20.000000 	         1.416553 	        19.000000 	         6.000000 	        28.000000 	         2.000000 	         1.000000 	         1.510574 	         1.000000 	         0.000000 	       367.000000 	        49.357675 	        52.537609 	     23975.238637 	       158.153235 	       160.365922 	       161.845485 	       162.458633 	       164.671314 	       166.244189 	         1.100000 	         2.200000 	         0.600000 	         2.200000 	  
         7.000000 	        19.000000 	        46.000000 	        54.000000 	         1.000000 	         1.000000 	        20.000000 	         1.322683 	        28.000000 	         4.000000 	        18.000000 	         1.000000 	         1.000000 	         1.289057 	         1.000000 	         0.000000 	       395.000000 	        45.291107 	        55.024009 	     23975.238637 	       167.150587 	       169.163315 	       170.549576 	       171.056096 	       173.268774 	       174.615046 	         0.900000 	         2.000000 	         0.500000 	         2.200000 	  
