C:\Behvdata\clash\clashMEG	 April 15, 2014 11:25:28	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        2.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         1.000000 	        10.000000 	         1.341228 	        35.000000 	         5.000000 	        15.000000 	         7.000000 	         1.000000 	         1.366680 	         1.000000 	         1.000000 	        35.000000 	        50.000000 	        50.000000 	     10524.828538 	         0.000000 	         1.812811 	         3.212414 	         3.625625 	         5.731694 	         7.157951 	         1.200000 	         1.800000 	         0.400000 	         2.100000 	  
         2.000000 	         2.000000 	        47.000000 	        54.000000 	         2.000000 	         1.000000 	        10.000000 	         0.794490 	         9.000000 	         3.000000 	        38.000000 	         4.000000 	         2.000000 	         1.381949 	         0.000000 	         0.000000 	        35.000000 	        47.293597 	        50.086343 	     10524.828538 	         8.170994 	        10.183745 	        11.036837 	        11.450053 	        13.356167 	        14.795770 	         1.000000 	         2.000000 	         0.400000 	         1.900000 	  
         2.000000 	         3.000000 	        53.000000 	        53.000000 	         2.000000 	         1.000000 	        10.000000 	         0.924343 	        37.000000 	         1.000000 	        16.000000 	         7.000000 	         2.000000 	         1.213618 	         0.000000 	         1.000000 	        51.000000 	        47.243481 	        51.452986 	     10524.828538 	        15.608870 	        17.821566 	        18.807952 	        19.314471 	        21.220594 	        22.500226 	         0.800000 	         2.200000 	         0.500000 	         1.900000 	  
         2.000000 	         4.000000 	        40.000000 	        55.000000 	         1.000000 	         1.000000 	        10.000000 	         1.180348 	        32.000000 	         3.000000 	         8.000000 	         6.000000 	         2.000000 	         1.146394 	         1.000000 	         1.000000 	        59.000000 	        44.474508 	        55.839099 	     10524.828538 	        23.313331 	        25.126135 	        26.365783 	        26.778995 	        28.591812 	        29.804800 	         0.800000 	         1.800000 	         0.400000 	         1.800000 	  
         2.000000 	         5.000000 	        32.000000 	        56.000000 	         2.000000 	         1.000000 	        10.000000 	         0.883203 	        29.000000 	         2.000000 	         3.000000 	         4.000000 	         1.000000 	         1.329500 	         0.000000 	         0.000000 	        59.000000 	        40.376654 	        57.875018 	     10524.828538 	        30.817841 	        32.630654 	        33.577055 	        34.190213 	        36.096333 	        37.482607 	         1.000000 	         1.800000 	         0.600000 	         1.900000 	  
         2.000000 	         6.000000 	        41.000000 	        62.000000 	         2.000000 	         1.000000 	        10.000000 	         0.741335 	        12.000000 	         8.000000 	        29.000000 	         6.000000 	         2.000000 	         1.148316 	         0.000000 	         1.000000 	        88.000000 	        38.149250 	        59.426242 	     10524.828538 	        38.495648 	        40.308457 	        41.108236 	        41.721387 	        43.934090 	        45.147077 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
         2.000000 	         7.000000 	        34.000000 	        60.000000 	         1.000000 	         1.000000 	        10.000000 	         0.743635 	         7.000000 	         9.000000 	        27.000000 	         6.000000 	         2.000000 	         1.070445 	         1.000000 	         1.000000 	       115.000000 	        36.028632 	        60.180773 	     10524.828538 	        46.253430 	        48.466126 	        49.265899 	        49.679106 	        51.891815 	        53.024823 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
         2.000000 	         8.000000 	        37.000000 	        66.000000 	         1.000000 	         2.000000 	        10.000000 	         0.678943 	        40.000000 	         2.000000 	        26.000000 	         6.000000 	         2.000000 	         1.112461 	         0.000000 	         1.000000 	       131.000000 	        33.913049 	        62.500308 	     10524.828538 	        53.837921 	        56.050623 	        56.783750 	        57.196968 	        59.009773 	        60.182771 	         0.800000 	         2.200000 	         0.400000 	         1.800000 	  
         2.000000 	         9.000000 	        34.000000 	        60.000000 	         1.000000 	         2.000000 	        20.000000 	         1.043809 	        12.000000 	         4.000000 	        48.000000 	         9.000000 	         2.000000 	         0.967354 	         0.000000 	         1.000000 	       179.000000 	        35.754733 	        62.525165 	     10524.828538 	        61.289125 	        63.101934 	        64.208289 	        64.621499 	        66.434316 	        67.460685 	         1.100000 	         1.800000 	         0.400000 	         1.800000 	  
         2.000000 	        10.000000 	        38.000000 	        67.000000 	         1.000000 	         2.000000 	        20.000000 	         1.019068 	        13.000000 	         4.000000 	        54.000000 	         3.000000 	         2.000000 	         1.418236 	         1.000000 	         0.000000 	       179.000000 	        38.410833 	        59.953099 	     10524.828538 	        68.673673 	        70.886382 	        71.966073 	        72.579222 	        74.791920 	        76.271504 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
