C:\behvdata\clash\clashMEG	 June 18, 2014 11:26:48	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       26.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         1.252883 	        30.000000 	         4.000000 	        20.000000 	         9.000000 	         2.000000 	         1.179032 	         1.000000 	         1.000000 	        20.000000 	        50.000000 	        50.000000 	      9520.400633 	         0.000000 	         2.212704 	         3.518987 	         4.025518 	         6.038279 	         7.277927 	         1.000000 	         2.200000 	         0.500000 	         2.000000 	  
        26.000000 	         2.000000 	        52.000000 	        52.000000 	         2.000000 	         1.000000 	        10.000000 	         1.169508 	        10.000000 	         6.000000 	        42.000000 	         1.000000 	         1.000000 	         1.277787 	         1.000000 	         0.000000 	        30.000000 	        48.766378 	        50.289367 	      9520.400633 	         8.091028 	         9.903853 	        11.130116 	        11.543378 	        13.756085 	        15.089038 	         0.800000 	         1.800000 	         0.400000 	         2.200000 	  
        26.000000 	         3.000000 	        47.000000 	        46.000000 	         2.000000 	         1.000000 	        10.000000 	         0.633174 	        33.000000 	         4.000000 	        14.000000 	         5.000000 	         1.000000 	         1.196663 	         1.000000 	         0.000000 	        63.000000 	        49.094698 	        52.061350 	      9520.400633 	        16.195384 	        18.408092 	        19.101218 	        19.607746 	        21.620503 	        22.873476 	         1.100000 	         2.200000 	         0.500000 	         2.000000 	  
        26.000000 	         4.000000 	        53.000000 	        54.000000 	         1.000000 	         1.000000 	        10.000000 	         0.720853 	        37.000000 	         2.000000 	        16.000000 	         8.000000 	         2.000000 	         1.076553 	         1.000000 	         1.000000 	        79.000000 	        47.714458 	        55.981769 	      9520.400633 	        23.779887 	        25.792664 	        26.579090 	        26.992306 	        28.805117 	        29.938129 	         0.900000 	         2.000000 	         0.400000 	         1.800000 	  
        26.000000 	         5.000000 	        40.000000 	        63.000000 	         1.000000 	         1.000000 	        10.000000 	         0.677288 	        16.000000 	         4.000000 	        24.000000 	         7.000000 	         2.000000 	         0.891794 	         0.000000 	         1.000000 	       103.000000 	        43.119571 	        56.218491 	      9520.400633 	        30.951179 	        33.163875 	        33.897002 	        34.403387 	        36.309657 	        37.256045 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
        26.000000 	         6.000000 	        42.000000 	        56.000000 	         1.000000 	         2.000000 	        10.000000 	         0.970552 	        22.000000 	         9.000000 	        34.000000 	         1.000000 	         1.000000 	         0.737119 	         1.000000 	         0.000000 	       115.000000 	        40.947274 	        55.067730 	      9520.400633 	        38.362392 	        40.375158 	        41.401528 	        41.907999 	        43.920812 	        44.720578 	         1.100000 	         2.000000 	         0.500000 	         2.000000 	  
        26.000000 	         7.000000 	        39.000000 	        49.000000 	         2.000000 	         2.000000 	        10.000000 	         0.882028 	        10.000000 	         3.000000 	        39.000000 	         9.000000 	         2.000000 	         0.775974 	         0.000000 	         1.000000 	       154.000000 	        43.192473 	        53.890510 	      9520.400633 	        45.626996 	        47.439810 	        48.386201 	        48.892725 	        50.705544 	        51.545261 	         0.900000 	         1.800000 	         0.500000 	         1.800000 	  
        26.000000 	         8.000000 	        42.000000 	        49.000000 	         1.000000 	         2.000000 	        10.000000 	         0.777061 	         5.000000 	         3.000000 	        44.000000 	         1.000000 	         2.000000 	         1.494868 	         0.000000 	         0.000000 	       154.000000 	        42.519204 	        53.152106 	      9520.400633 	        52.651649 	        54.664409 	        55.504168 	        55.917385 	        57.730204 	        59.289756 	         1.100000 	         2.000000 	         0.400000 	         1.800000 	  
        26.000000 	         9.000000 	        46.000000 	        55.000000 	         1.000000 	         2.000000 	        10.000000 	         0.733631 	         5.000000 	         5.000000 	        50.000000 	         4.000000 	         2.000000 	         1.052547 	         0.000000 	         0.000000 	       154.000000 	        43.540508 	        51.131683 	      9520.400633 	        60.302808 	        62.115618 	        62.915394 	        63.528551 	        65.741263 	        66.860932 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
        26.000000 	        10.000000 	        45.000000 	        47.000000 	         2.000000 	         2.000000 	        10.000000 	         0.682994 	        33.000000 	         2.000000 	        14.000000 	         7.000000 	         2.000000 	         0.960719 	         1.000000 	         1.000000 	       168.000000 	        42.935624 	        48.324621 	      9520.400633 	        68.073923 	        70.086677 	        70.833133 	        71.446295 	        73.552354 	        74.578727 	         1.200000 	         2.000000 	         0.600000 	         2.100000 	  
