C:\behvdata\clash\clashMEG	 June 25, 2014 11:08:00	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       33.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         1.000000 	        10.000000 	         0.945610 	        35.000000 	         7.000000 	        15.000000 	         6.000000 	         1.000000 	         0.647896 	         1.000000 	         1.000000 	        35.000000 	        50.000000 	        50.000000 	      8358.940407 	         0.000000 	         3.852196 	         4.851899 	         5.465055 	         7.677742 	         8.384201 	         1.100000 	         1.800000 	         0.600000 	         2.200000 	  
        33.000000 	         2.000000 	        45.000000 	        48.000000 	         2.000000 	         1.000000 	        10.000000 	         0.734564 	         9.000000 	         8.000000 	        36.000000 	         9.000000 	         2.000000 	         0.956625 	         1.000000 	         1.000000 	        71.000000 	        48.844623 	        50.255906 	      8358.940407 	         9.290550 	        11.303341 	        12.103102 	        12.716252 	        14.728990 	        15.742030 	         0.900000 	         2.000000 	         0.600000 	         2.000000 	  
        33.000000 	         3.000000 	        46.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         0.973955 	        14.000000 	         5.000000 	        32.000000 	         2.000000 	         2.000000 	         1.142510 	         1.000000 	         0.000000 	        71.000000 	        46.891474 	        53.084674 	      8358.940407 	        16.955008 	        18.767798 	        19.807495 	        20.314011 	        22.326743 	        23.526398 	         1.200000 	         1.800000 	         0.500000 	         2.000000 	  
        33.000000 	         4.000000 	        43.000000 	        49.000000 	         2.000000 	         2.000000 	        10.000000 	         0.837395 	        39.000000 	         3.000000 	        10.000000 	         6.000000 	         1.000000 	         0.598448 	         1.000000 	         1.000000 	       100.000000 	        44.483393 	        56.961337 	      8358.940407 	        24.739364 	        26.952045 	        27.845123 	        28.258326 	        30.071128 	        30.724266 	         1.200000 	         2.200000 	         0.400000 	         1.800000 	  
        33.000000 	         5.000000 	        45.000000 	        44.000000 	         2.000000 	         2.000000 	        10.000000 	         0.655698 	        40.000000 	         2.000000 	         4.000000 	         4.000000 	         1.000000 	         0.711834 	         0.000000 	         0.000000 	       100.000000 	        46.973540 	        52.364009 	      8358.940407 	        31.737304 	        33.550106 	        34.269893 	        34.883045 	        36.789147 	        37.562253 	         1.000000 	         1.800000 	         0.600000 	         1.900000 	  
        33.000000 	         6.000000 	        52.000000 	        53.000000 	         2.000000 	         2.000000 	        10.000000 	         0.665600 	        16.000000 	         8.000000 	        37.000000 	         6.000000 	         2.000000 	         0.607333 	         0.000000 	         1.000000 	       137.000000 	        48.960824 	        49.657111 	      8358.940407 	        38.575288 	        40.388089 	        41.107867 	        41.721026 	        43.933704 	        44.600173 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
        33.000000 	         7.000000 	        50.000000 	        45.000000 	         1.000000 	         2.000000 	        10.000000 	         0.773371 	         9.000000 	         9.000000 	        36.000000 	         6.000000 	         2.000000 	         0.908180 	         1.000000 	         1.000000 	       173.000000 	        50.133971 	        47.076180 	      8358.940407 	        45.706509 	        47.919199 	        48.758961 	        49.172157 	        51.384844 	        52.357880 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
        33.000000 	         8.000000 	        57.000000 	        48.000000 	         1.000000 	         2.000000 	        10.000000 	         0.564973 	        10.000000 	         6.000000 	        38.000000 	         4.000000 	         2.000000 	         1.024530 	         0.000000 	         0.000000 	       173.000000 	        52.855378 	        44.518695 	      8358.940407 	        53.170977 	        55.383655 	        56.010139 	        56.623295 	        58.436088 	        59.515778 	         0.800000 	         2.200000 	         0.600000 	         1.800000 	  
        33.000000 	         9.000000 	        53.000000 	        45.000000 	         1.000000 	         1.000000 	        10.000000 	         0.609557 	        11.000000 	         4.000000 	        42.000000 	         9.000000 	         2.000000 	         0.517644 	         0.000000 	         1.000000 	       205.000000 	        54.813437 	        41.960342 	      8358.940407 	        60.622112 	        62.634856 	        63.301328 	        63.714533 	        65.527331 	        66.100503 	         1.100000 	         2.000000 	         0.400000 	         1.800000 	  
        33.000000 	        10.000000 	        60.000000 	        44.000000 	         1.000000 	         1.000000 	        10.000000 	         0.622423 	        12.000000 	         4.000000 	        48.000000 	         3.000000 	         2.000000 	         0.692387 	         1.000000 	         0.000000 	       205.000000 	        52.549840 	        44.368217 	      8358.940407 	        67.313469 	        69.526146 	        70.205946 	        70.819100 	        73.031782 	        73.778224 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
