C:\behvdata\clash\clashMEG	 June 04, 2014 11:53:45	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       21.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         1.000000 	        15.000000 	         2.055985 	        10.000000 	         6.000000 	        40.000000 	         1.000000 	         1.000000 	         1.663098 	         1.000000 	         0.000000 	        10.000000 	        50.000000 	        50.000000 	     12333.080946 	         0.000000 	         1.812800 	         3.932170 	         4.345377 	         6.558066 	         8.277282 	         0.800000 	         1.800000 	         0.400000 	         2.200000 	  
        21.000000 	         2.000000 	        48.000000 	        46.000000 	         2.000000 	         1.000000 	        15.000000 	         1.464910 	        34.000000 	         4.000000 	        14.000000 	         5.000000 	         1.000000 	         1.585891 	         1.000000 	         0.000000 	        44.000000 	        50.278975 	        51.783557 	     12333.080946 	         9.383896 	        11.596576 	        13.116117 	        13.622643 	        15.635378 	        17.288222 	         1.100000 	         2.200000 	         0.500000 	         2.000000 	  
        21.000000 	         3.000000 	        54.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         1.749539 	        38.000000 	         2.000000 	        16.000000 	         8.000000 	         2.000000 	         1.558952 	         1.000000 	         1.000000 	        60.000000 	        48.851364 	        55.715088 	     12333.080946 	        18.194627 	        20.207361 	        22.020159 	        22.433370 	        24.246176 	        25.872355 	         0.900000 	         2.000000 	         0.400000 	         1.800000 	  
        21.000000 	         4.000000 	        42.000000 	        63.000000 	         1.000000 	         1.000000 	        15.000000 	         1.210842 	        17.000000 	         4.000000 	        25.000000 	         7.000000 	         2.000000 	         1.739834 	         0.000000 	         1.000000 	        85.000000 	        44.211000 	        55.962477 	     12333.080946 	        26.885391 	        29.098069 	        30.364357 	        30.870877 	        32.776977 	        34.576450 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
        21.000000 	         5.000000 	        43.000000 	        56.000000 	         1.000000 	         2.000000 	        15.000000 	         1.413110 	        22.000000 	         9.000000 	        34.000000 	         1.000000 	         1.000000 	         1.446556 	         1.000000 	         0.000000 	        92.000000 	        41.995046 	        54.821957 	     12333.080946 	        35.682783 	        37.695536 	        39.175093 	        39.681607 	        41.694350 	        43.200569 	         1.100000 	         2.000000 	         0.500000 	         2.000000 	  
        21.000000 	         6.000000 	        40.000000 	        49.000000 	         2.000000 	         2.000000 	        10.000000 	         1.612843 	        10.000000 	         3.000000 	        39.000000 	         9.000000 	         2.000000 	         1.030304 	         0.000000 	         1.000000 	       131.000000 	        44.198335 	        53.654568 	     12333.080946 	        44.106975 	        45.919773 	        47.599274 	        48.105785 	        49.918584 	        51.011599 	         0.900000 	         1.800000 	         0.500000 	         1.800000 	  
        21.000000 	         7.000000 	        43.000000 	        49.000000 	         1.000000 	         2.000000 	        10.000000 	         1.210215 	         5.000000 	         3.000000 	        44.000000 	         1.000000 	         2.000000 	         1.997731 	         0.000000 	         0.000000 	       131.000000 	        43.484832 	        52.925602 	     12333.080946 	        52.117945 	        54.130681 	        55.396957 	        55.810181 	        57.622977 	        59.675480 	         1.100000 	         2.000000 	         0.400000 	         1.800000 	  
        21.000000 	         8.000000 	        46.000000 	        55.000000 	         1.000000 	         2.000000 	        10.000000 	         1.247322 	         5.000000 	         5.000000 	        50.000000 	         4.000000 	         2.000000 	         1.362307 	         0.000000 	         0.000000 	       131.000000 	        44.467510 	        50.914239 	     12333.080946 	        60.688747 	        62.501541 	        63.807825 	        64.420694 	        66.633656 	        68.059903 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
        21.000000 	         9.000000 	        46.000000 	        46.000000 	         2.000000 	         2.000000 	        10.000000 	         1.334913 	        32.000000 	         2.000000 	        14.000000 	         7.000000 	         2.000000 	         1.343697 	         1.000000 	         1.000000 	       145.000000 	        43.825546 	        48.115874 	     12333.080946 	        69.272873 	        71.285612 	        72.685196 	        73.298349 	        75.404398 	        76.803983 	         1.200000 	         2.000000 	         0.600000 	         2.100000 	  
        21.000000 	        10.000000 	        45.000000 	        45.000000 	         2.000000 	         2.000000 	        10.000000 	         1.472761 	        18.000000 	         7.000000 	        27.000000 	         6.000000 	         2.000000 	         1.589005 	         0.000000 	         1.000000 	       172.000000 	        44.534502 	        46.317529 	     12333.080946 	        77.710379 	        79.723113 	        81.255999 	        81.762519 	        83.775260 	        85.428102 	         0.900000 	         2.000000 	         0.500000 	         2.000000 	  
