C:\Behvdata\clash\clashMEG	 April 15, 2014 17:24:57	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        5.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         1.180570 	        10.000000 	         8.000000 	        40.000000 	         6.000000 	         2.000000 	         1.834766 	         1.000000 	         1.000000 	        40.000000 	        50.000000 	        50.000000 	     32096.375737 	         0.000000 	         1.812815 	         3.052444 	         3.665629 	         5.878320 	         7.771118 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
         5.000000 	         2.000000 	        47.000000 	        45.000000 	         2.000000 	         1.000000 	        15.000000 	         0.772422 	        19.000000 	         7.000000 	        28.000000 	         6.000000 	         2.000000 	         1.047421 	         1.000000 	         1.000000 	        68.000000 	        46.924547 	        51.397728 	     32096.375737 	         8.784156 	        10.996832 	        11.823292 	        12.236505 	        14.249073 	        15.355612 	         1.000000 	         2.200000 	         0.400000 	         2.000000 	  
         5.000000 	         3.000000 	        45.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         1.190344 	         9.000000 	         5.000000 	        36.000000 	         7.000000 	         2.000000 	         0.737991 	         1.000000 	         1.000000 	       104.000000 	        42.981420 	        53.586687 	     32096.375737 	        16.262021 	        18.274772 	        19.527449 	        20.140905 	        22.047031 	        22.846799 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
         5.000000 	         4.000000 	        40.000000 	        49.000000 	         1.000000 	         1.000000 	        15.000000 	         0.928141 	        28.000000 	         5.000000 	        12.000000 	         8.000000 	         2.000000 	         1.227846 	         1.000000 	         0.000000 	       104.000000 	        41.843452 	        56.262422 	     32096.375737 	        23.659895 	        25.672662 	        26.659036 	        27.072251 	        28.885064 	        30.178043 	         0.800000 	         2.000000 	         0.400000 	         1.800000 	  
         5.000000 	         5.000000 	        37.000000 	        64.000000 	         1.000000 	         1.000000 	        15.000000 	         1.301134 	        15.000000 	         3.000000 	        22.000000 	         2.000000 	         2.000000 	         1.373978 	         0.000000 	         0.000000 	       104.000000 	        40.755964 	        59.012324 	     32096.375737 	        30.991141 	        33.203831 	        34.563447 	        35.176598 	        37.282661 	        38.722249 	         0.800000 	         2.200000 	         0.600000 	         2.100000 	  
         5.000000 	         6.000000 	        41.000000 	        53.000000 	         1.000000 	         1.000000 	        15.000000 	         0.927139 	        37.000000 	         6.000000 	         4.000000 	         4.000000 	         1.000000 	         1.011512 	         1.000000 	         0.000000 	       141.000000 	        39.128122 	        60.462127 	     32096.375737 	        39.628661 	        41.841282 	        42.827746 	        43.440908 	        45.653598 	        46.719969 	         0.900000 	         2.200000 	         0.600000 	         2.200000 	  
         5.000000 	         7.000000 	        39.000000 	        68.000000 	         1.000000 	         1.000000 	        15.000000 	         1.089423 	        16.000000 	         4.000000 	        23.000000 	         2.000000 	         1.000000 	         1.448462 	         1.000000 	         0.000000 	       157.000000 	        38.567763 	        62.690874 	     32096.375737 	        47.826308 	        49.639123 	        50.785462 	        51.291987 	        53.504694 	        55.010922 	         1.100000 	         1.800000 	         0.500000 	         2.200000 	  
         5.000000 	         8.000000 	        33.000000 	        66.000000 	         2.000000 	         1.000000 	        15.000000 	         0.974639 	         3.000000 	         2.000000 	        30.000000 	         3.000000 	         2.000000 	         0.978126 	         0.000000 	         0.000000 	       157.000000 	        36.833040 	        63.650408 	     32096.375737 	        55.917325 	        57.730151 	        58.769845 	        59.276366 	        61.382432 	        62.422137 	         0.900000 	         1.800000 	         0.500000 	         2.100000 	  
         5.000000 	         9.000000 	        36.000000 	        69.000000 	         2.000000 	         1.000000 	        15.000000 	         0.800705 	        25.000000 	         6.000000 	        11.000000 	         4.000000 	         1.000000 	         1.380145 	         1.000000 	         1.000000 	       182.000000 	        37.069708 	        64.863539 	     32096.375737 	        63.635124 	        65.447934 	        66.314358 	        66.927513 	        68.740075 	        70.179919 	         1.200000 	         1.800000 	         0.600000 	         1.800000 	  
         5.000000 	        10.000000 	        38.000000 	        67.000000 	         1.000000 	         1.000000 	        15.000000 	         1.117708 	        11.000000 	         1.000000 	        27.000000 	         7.000000 	         2.000000 	         0.976841 	         0.000000 	         0.000000 	       182.000000 	        35.988285 	        66.401796 	     32096.375737 	        71.286272 	        73.099082 	        74.272083 	        74.885230 	        76.791349 	        77.831063 	         1.100000 	         1.800000 	         0.600000 	         1.900000 	  
         5.000000 	        11.000000 	        34.000000 	        66.000000 	         2.000000 	         1.000000 	        15.000000 	         0.527351 	        24.000000 	         5.000000 	        10.000000 	         9.000000 	         2.000000 	         1.237643 	         0.000000 	         1.000000 	       192.000000 	        34.525941 	        66.820069 	     32096.375737 	        78.844106 	        80.656921 	        81.243413 	        81.656632 	        83.562754 	        84.855718 	         1.000000 	         1.800000 	         0.400000 	         1.900000 	  
         5.000000 	        12.000000 	        36.000000 	        72.000000 	         2.000000 	         1.000000 	        15.000000 	         1.054834 	        14.000000 	         4.000000 	        22.000000 	         3.000000 	         1.000000 	         1.392149 	         1.000000 	         1.000000 	       206.000000 	        33.715440 	        69.139647 	     32096.375737 	        85.668818 	        87.481622 	        88.601305 	        89.107829 	        91.120585 	        92.573509 	         0.800000 	         1.800000 	         0.500000 	         2.000000 	  
         5.000000 	        13.000000 	        31.000000 	        70.000000 	         1.000000 	         1.000000 	        15.000000 	         0.756798 	        12.000000 	         7.000000 	        19.000000 	         6.000000 	         1.000000 	         1.274277 	         1.000000 	         1.000000 	       218.000000 	        34.345187 	        68.988835 	     32096.375737 	        93.479911 	        95.692607 	        96.505715 	        97.012229 	        98.918352 	       100.251313 	         0.900000 	         2.200000 	         0.500000 	         1.900000 	  
         5.000000 	        14.000000 	        29.000000 	        72.000000 	         2.000000 	         1.000000 	        15.000000 	         0.886045 	        12.000000 	         9.000000 	        17.000000 	         8.000000 	         2.000000 	         1.417846 	         1.000000 	         1.000000 	       235.000000 	        31.923831 	        70.512275 	     32096.375737 	       101.157715 	       102.970525 	       103.916926 	       104.529832 	       106.742780 	       108.222361 	         0.900000 	         1.800000 	         0.600000 	         2.200000 	  
         5.000000 	        15.000000 	        34.000000 	        75.000000 	         1.000000 	         1.000000 	        15.000000 	         1.051411 	         7.000000 	         8.000000 	        27.000000 	         4.000000 	         1.000000 	         0.836398 	         1.000000 	         1.000000 	       242.000000 	        30.865282 	        71.669454 	     32096.375737 	       109.128774 	       110.941584 	       112.047936 	       112.554463 	       114.660527 	       115.553592 	         0.900000 	         1.800000 	         0.500000 	         2.100000 	  
         5.000000 	        16.000000 	        34.000000 	        70.000000 	         2.000000 	         1.000000 	        15.000000 	         0.749017 	        10.000000 	         6.000000 	        24.000000 	         3.000000 	         1.000000 	         0.912206 	         1.000000 	         0.000000 	       252.000000 	        29.221533 	        73.003790 	     32096.375737 	       116.766575 	       118.579394 	       119.392500 	       119.805717 	       121.711833 	       122.684894 	         1.200000 	         1.800000 	         0.400000 	         1.900000 	  
         5.000000 	        17.000000 	        33.000000 	        72.000000 	         1.000000 	         1.000000 	        15.000000 	         1.121940 	        10.000000 	         2.000000 	        23.000000 	         1.000000 	         2.000000 	         1.331552 	         0.000000 	         0.000000 	       252.000000 	        28.986957 	        75.479395 	     32096.375737 	       123.897871 	       126.110578 	       127.296898 	       127.803418 	       129.909492 	       131.295745 	         1.200000 	         2.200000 	         0.500000 	         2.100000 	  
         5.000000 	        18.000000 	        28.000000 	        79.000000 	         1.000000 	         1.000000 	        15.000000 	         1.153337 	         8.000000 	         6.000000 	        20.000000 	         1.000000 	         1.000000 	         0.957520 	         1.000000 	         0.000000 	       260.000000 	        28.786267 	        77.331460 	     32096.375737 	       132.402109 	       134.214927 	       135.427911 	       136.041062 	       138.147131 	       139.160178 	         1.100000 	         1.800000 	         0.600000 	         2.100000 	  
         5.000000 	        19.000000 	        33.000000 	        75.000000 	         1.000000 	         1.000000 	        15.000000 	         1.009293 	        30.000000 	         7.000000 	         3.000000 	         9.000000 	         1.000000 	         0.692533 	         0.000000 	         1.000000 	       260.000000 	        29.354997 	        77.083172 	     32096.375737 	       140.266526 	       142.279280 	       143.345641 	       143.758862 	       145.771619 	       146.518064 	         1.100000 	         2.000000 	         0.400000 	         2.000000 	  
         5.000000 	        20.000000 	        26.000000 	        76.000000 	         1.000000 	         1.000000 	        15.000000 	         0.832771 	         5.000000 	         7.000000 	        21.000000 	         5.000000 	         1.000000 	         1.132465 	         0.000000 	         1.000000 	       260.000000 	        30.507156 	        78.567841 	     32096.375737 	       147.731050 	       149.743810 	       150.636881 	       151.143408 	       152.956221 	       154.155882 	         1.200000 	         2.000000 	         0.500000 	         1.800000 	  
         5.000000 	        21.000000 	        35.000000 	        77.000000 	         1.000000 	         1.000000 	        15.000000 	         0.837974 	         7.000000 	         9.000000 	        28.000000 	         3.000000 	         1.000000 	         1.009308 	         0.000000 	         0.000000 	       260.000000 	        29.720165 	        78.935111 	     32096.375737 	       155.262227 	       157.274992 	       158.168059 	       158.781227 	       160.687340 	       161.753709 	         1.100000 	         2.000000 	         0.600000 	         1.900000 	  
         5.000000 	        22.000000 	        31.000000 	        69.000000 	         1.000000 	         1.000000 	        15.000000 	         0.876557 	         3.000000 	         4.000000 	        28.000000 	         2.000000 	         2.000000 	         0.976857 	         0.000000 	         0.000000 	       260.000000 	        28.034904 	        80.586138 	     32096.375737 	       162.966686 	       164.779509 	       165.712575 	       166.325727 	       168.231849 	       169.271552 	         1.200000 	         1.800000 	         0.600000 	         1.900000 	  
