C:\behvdata\clash\clashMEG	 June 25, 2014 09:44:48	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       31.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         1.000000 	        15.000000 	         0.555235 	        35.000000 	         2.000000 	        15.000000 	         5.000000 	         2.000000 	         1.430001 	         0.000000 	         1.000000 	        15.000000 	        50.000000 	        50.000000 	      3363.468185 	         0.000000 	         2.212676 	         2.825824 	         3.438987 	         5.545030 	         7.037920 	         1.100000 	         2.200000 	         0.600000 	         2.100000 	  
        31.000000 	         2.000000 	        50.000000 	        59.000000 	         1.000000 	         1.000000 	        15.000000 	         0.698559 	        15.000000 	         6.000000 	        35.000000 	         8.000000 	         2.000000 	         1.074905 	         0.000000 	         1.000000 	        50.000000 	        48.689601 	        52.901475 	      3363.468185 	         7.944314 	         9.957052 	        10.716837 	        11.329989 	        13.436025 	        14.569026 	         0.900000 	         2.000000 	         0.600000 	         2.100000 	  
        31.000000 	         3.000000 	        45.000000 	        58.000000 	         1.000000 	         1.000000 	        15.000000 	         0.541046 	         4.000000 	         3.000000 	        41.000000 	         6.000000 	         2.000000 	         1.421453 	         0.000000 	         1.000000 	        91.000000 	        46.457935 	        54.295007 	      3363.468185 	        15.582063 	        17.794750 	        18.394566 	        19.007713 	        20.913815 	        22.393381 	         1.000000 	         2.200000 	         0.600000 	         1.900000 	  
        31.000000 	         4.000000 	        39.000000 	        52.000000 	         1.000000 	         1.000000 	        15.000000 	         0.750671 	         8.000000 	         5.000000 	        31.000000 	         3.000000 	         1.000000 	         1.650109 	         1.000000 	         1.000000 	        99.000000 	        44.812419 	        55.211098 	      3363.468185 	        23.299791 	        25.512462 	        26.325563 	        26.738766 	        28.644870 	        30.351036 	         0.900000 	         2.200000 	         0.400000 	         1.900000 	  
        31.000000 	         5.000000 	        39.000000 	        60.000000 	         1.000000 	         1.000000 	        15.000000 	         0.534601 	        35.000000 	         8.000000 	         4.000000 	         7.000000 	         1.000000 	         0.780697 	         1.000000 	         1.000000 	       134.000000 	        43.739958 	        57.296024 	      3363.468185 	        31.564014 	        33.376806 	        33.976632 	        34.389843 	        36.402591 	        37.242336 	         1.200000 	         1.800000 	         0.400000 	         2.000000 	  
        31.000000 	         6.000000 	        42.000000 	        53.000000 	         1.000000 	         1.000000 	        15.000000 	         0.466905 	        29.000000 	         1.000000 	        13.000000 	         4.000000 	         2.000000 	         0.910179 	         0.000000 	         1.000000 	       147.000000 	        42.027688 	        58.550395 	      3363.468185 	        38.455314 	        40.667998 	        41.201175 	        41.614377 	        43.520481 	        44.493534 	         1.200000 	         2.200000 	         0.400000 	         1.900000 	  
        31.000000 	         7.000000 	        42.000000 	        56.000000 	         2.000000 	         1.000000 	        15.000000 	         0.455150 	         4.000000 	         1.000000 	        38.000000 	         2.000000 	         2.000000 	         1.072725 	         0.000000 	         1.000000 	       185.000000 	        39.709817 	        59.540245 	      3363.468185 	        45.706502 	        47.719243 	        48.239098 	        48.745611 	        50.958288 	        52.091295 	         1.200000 	         2.000000 	         0.500000 	         2.200000 	  
        31.000000 	         8.000000 	        36.000000 	        62.000000 	         2.000000 	         1.000000 	        15.000000 	         0.489310 	        11.000000 	         8.000000 	        25.000000 	         1.000000 	         1.000000 	         0.850694 	         1.000000 	         0.000000 	       196.000000 	        37.667924 	        59.525480 	      3363.468185 	        52.904390 	        54.917119 	        55.463624 	        55.970144 	        57.876252 	        58.782650 	         0.800000 	         2.000000 	         0.500000 	         1.900000 	  
        31.000000 	         9.000000 	        35.000000 	        64.000000 	         1.000000 	         1.000000 	        15.000000 	         0.413976 	        24.000000 	         1.000000 	        11.000000 	         3.000000 	         2.000000 	         1.455256 	         0.000000 	         0.000000 	       196.000000 	        34.595635 	        62.168165 	      3363.468185 	        59.795686 	        61.808429 	        62.288264 	        62.794794 	        65.007474 	        66.527029 	         1.000000 	         2.000000 	         0.500000 	         2.200000 	  
        31.000000 	        10.000000 	        33.000000 	        68.000000 	         1.000000 	         2.000000 	        15.000000 	         0.904945 	        27.000000 	         4.000000 	        41.000000 	         8.000000 	         2.000000 	         0.737276 	         0.000000 	         1.000000 	       222.000000 	        33.457713 	        65.120271 	      3363.468185 	        67.433431 	        69.646102 	        70.605829 	        71.218784 	        73.125092 	        73.924854 	         0.900000 	         2.200000 	         0.600000 	         1.900000 	  
