C:\behvdata\clash\clashMEG	 May 07, 2014 13:25:23	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        9.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         0.820970 	        40.000000 	         1.000000 	        10.000000 	         7.000000 	         1.000000 	         1.715366 	         0.000000 	         0.000000 	         0.000000 	        50.000000 	        50.000000 	     16804.611492 	         0.000000 	         2.212624 	         3.092420 	         3.705569 	         5.918237 	         7.691059 	         0.900000 	         2.200000 	         0.600000 	         2.200000 	  
         9.000000 	         2.000000 	        44.000000 	        51.000000 	         1.000000 	         1.000000 	        15.000000 	         0.622896 	        13.000000 	         2.000000 	        31.000000 	         6.000000 	         2.000000 	         1.053491 	         1.000000 	         1.000000 	        31.000000 	        47.288293 	        52.761557 	     16804.611492 	         8.597455 	        10.610190 	        11.289995 	        11.903144 	        14.115822 	        15.235487 	         0.900000 	         2.000000 	         0.600000 	         2.200000 	  
         9.000000 	         3.000000 	        47.000000 	        53.000000 	         2.000000 	         1.000000 	        15.000000 	         0.959090 	        28.000000 	         8.000000 	        19.000000 	         5.000000 	         1.000000 	         1.108935 	         1.000000 	         1.000000 	        59.000000 	        44.653019 	        53.826032 	     16804.611492 	        16.141896 	        18.354575 	        19.367605 	        19.874115 	        21.980164 	        23.153158 	         0.900000 	         2.200000 	         0.500000 	         2.100000 	  
         9.000000 	         4.000000 	        43.000000 	        60.000000 	         1.000000 	         1.000000 	        15.000000 	         0.694220 	        17.000000 	         5.000000 	        26.000000 	         1.000000 	         1.000000 	         1.383660 	         1.000000 	         0.000000 	        76.000000 	        42.293819 	        55.586967 	     16804.611492 	        24.166188 	        26.178929 	        26.938698 	        27.445220 	        29.657899 	        31.097463 	         1.000000 	         2.000000 	         0.500000 	         2.200000 	  
         9.000000 	         5.000000 	        39.000000 	        56.000000 	         1.000000 	         1.000000 	        15.000000 	         0.694101 	        16.000000 	         6.000000 	        23.000000 	         5.000000 	         2.000000 	         2.238549 	         0.000000 	         0.000000 	        76.000000 	        41.185459 	        57.868772 	     16804.611492 	        32.110500 	        34.123248 	        34.883031 	        35.296224 	        37.402265 	        39.694931 	         1.000000 	         2.000000 	         0.400000 	         2.100000 	  
         9.000000 	         6.000000 	        39.000000 	        59.000000 	         1.000000 	         1.000000 	        15.000000 	         0.623898 	        16.000000 	         9.000000 	        23.000000 	         1.000000 	         1.000000 	         1.574450 	         1.000000 	         0.000000 	        92.000000 	        39.619632 	        61.126589 	     16804.611492 	        40.707968 	        42.520760 	        43.200558 	        43.813714 	        45.626511 	        47.266023 	         1.000000 	         1.800000 	         0.600000 	         1.800000 	  
         9.000000 	         7.000000 	        36.000000 	        66.000000 	         1.000000 	         1.000000 	        15.000000 	         0.724868 	         7.000000 	         3.000000 	        29.000000 	         6.000000 	         2.000000 	         0.982061 	         0.000000 	         0.000000 	        92.000000 	        35.919129 	        64.379425 	     16804.611492 	        48.279052 	        50.491738 	        51.277897 	        51.784682 	        53.690791 	        54.730486 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
         9.000000 	         8.000000 	        38.000000 	        62.000000 	         1.000000 	         1.000000 	        15.000000 	         0.559078 	        30.000000 	         4.000000 	         8.000000 	         7.000000 	         1.000000 	         1.386815 	         0.000000 	         1.000000 	        92.000000 	        32.862765 	        65.860609 	     16804.611492 	        55.636882 	        57.849566 	        58.462711 	        58.875928 	        60.782033 	        62.234936 	         0.900000 	         2.200000 	         0.400000 	         1.900000 	  
         9.000000 	         9.000000 	        24.000000 	        65.000000 	         1.000000 	         1.000000 	        15.000000 	         0.534210 	        17.000000 	         8.000000 	         7.000000 	         2.000000 	         1.000000 	         0.959388 	         1.000000 	         0.000000 	       109.000000 	        29.766183 	        67.362821 	     16804.611492 	        63.141336 	        64.954133 	        65.553948 	        65.967161 	        68.073200 	        69.099572 	         0.900000 	         1.800000 	         0.400000 	         2.100000 	  
         9.000000 	        10.000000 	        28.000000 	        67.000000 	         2.000000 	         1.000000 	        15.000000 	         0.685528 	         8.000000 	         5.000000 	        20.000000 	         3.000000 	         2.000000 	         1.292207 	         1.000000 	         0.000000 	       109.000000 	        29.523386 	        67.907042 	     16804.611492 	        70.005968 	        72.218640 	        72.965094 	        73.471603 	        75.484350 	        76.830613 	         0.900000 	         2.200000 	         0.500000 	         2.000000 	  
