C:\behvdata\clash\clashMEG	 June 04, 2014 09:24:43	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       20.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         3.039590 	        40.000000 	         8.000000 	        10.000000 	         9.000000 	         1.000000 	         0.771641 	         1.000000 	         1.000000 	        40.000000 	        50.000000 	        50.000000 	      3399.879598 	         0.000000 	         2.212677 	         5.318427 	         5.931581 	         7.944069 	         8.770736 	         0.900000 	         2.200000 	         0.600000 	         2.000000 	  
        20.000000 	         2.000000 	        43.000000 	        52.000000 	         2.000000 	         1.000000 	        15.000000 	         1.978407 	         4.000000 	         8.000000 	        39.000000 	         2.000000 	         1.000000 	         0.851443 	         0.000000 	         0.000000 	        40.000000 	        49.122318 	        52.080108 	      3399.879598 	         9.677138 	        11.689882 	        13.729272 	        14.342425 	        16.248532 	        17.154931 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
        20.000000 	         3.000000 	        50.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         1.999289 	        10.000000 	         4.000000 	        40.000000 	         7.000000 	         2.000000 	         0.810621 	         0.000000 	         1.000000 	        80.000000 	        46.559481 	        53.370203 	      3399.879598 	        18.167971 	        20.180709 	        22.246764 	        22.859918 	        24.672711 	        25.539124 	         1.000000 	         2.000000 	         0.600000 	         1.800000 	  
        20.000000 	         4.000000 	        42.000000 	        57.000000 	         1.000000 	         1.000000 	        15.000000 	         1.758563 	        34.000000 	         5.000000 	         8.000000 	         1.000000 	         1.000000 	         0.762753 	         1.000000 	         0.000000 	       114.000000 	        43.909329 	        56.272375 	      3399.879598 	        26.552159 	        28.764839 	        30.577635 	        30.990847 	        33.096897 	        33.923312 	         1.000000 	         2.200000 	         0.400000 	         2.100000 	  
        20.000000 	         5.000000 	        45.000000 	        54.000000 	         2.000000 	         1.000000 	        15.000000 	         1.542327 	        40.000000 	         6.000000 	         5.000000 	         7.000000 	         1.000000 	         0.804928 	         1.000000 	         1.000000 	       154.000000 	        42.513257 	        58.532062 	      3399.879598 	        35.136291 	        37.348970 	        38.948495 	        39.561643 	        41.774330 	        42.640736 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
        20.000000 	         6.000000 	        39.000000 	        60.000000 	         2.000000 	         1.000000 	        15.000000 	         1.304593 	        27.000000 	         5.000000 	        12.000000 	         9.000000 	         2.000000 	         1.015769 	         1.000000 	         1.000000 	       166.000000 	        38.899939 	        60.642299 	      3399.879598 	        43.653780 	        45.466567 	        46.826178 	        47.439325 	        49.651997 	        50.731683 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
        20.000000 	         7.000000 	        37.000000 	        67.000000 	         1.000000 	         1.000000 	        15.000000 	         2.405779 	        30.000000 	         8.000000 	         7.000000 	         9.000000 	         1.000000 	         0.778019 	         1.000000 	         1.000000 	       196.000000 	        36.240778 	        62.310231 	      3399.879598 	        51.544774 	        53.557514 	        56.023463 	        56.436684 	        58.249461 	        59.089212 	         0.800000 	         2.000000 	         0.400000 	         1.800000 	  
        20.000000 	         8.000000 	        35.000000 	        65.000000 	         1.000000 	         1.000000 	        15.000000 	         3.344445 	        10.000000 	         1.000000 	        25.000000 	         8.000000 	         2.000000 	         0.714298 	         0.000000 	         1.000000 	       221.000000 	        33.782372 	        64.235951 	      3399.879598 	        60.102252 	        62.114987 	        65.513985 	        66.020503 	        68.033242 	        68.806356 	         1.000000 	         2.000000 	         0.500000 	         2.000000 	  
        20.000000 	         9.000000 	        35.000000 	        69.000000 	         1.000000 	         1.000000 	        15.000000 	         1.818924 	         3.000000 	         1.000000 	        32.000000 	         5.000000 	         2.000000 	         0.817003 	         0.000000 	         1.000000 	       253.000000 	        34.931128 	        64.478631 	      3399.879598 	        69.619439 	        71.632175 	        73.511618 	        74.124785 	        75.937573 	        76.817317 	         0.800000 	         2.000000 	         0.600000 	         1.800000 	  
        20.000000 	        10.000000 	        34.000000 	        72.000000 	         1.000000 	         1.000000 	        15.000000 	         0.986532 	         7.000000 	         2.000000 	        27.000000 	         7.000000 	         2.000000 	         0.515310 	         0.000000 	         0.000000 	       253.000000 	        32.050979 	        69.246383 	      3399.879598 	        77.723716 	        79.536515 	        80.589541 	        81.202693 	        83.215430 	        83.788598 	         0.900000 	         1.800000 	         0.600000 	         2.000000 	  
        20.000000 	        11.000000 	        30.000000 	        69.000000 	         1.000000 	         1.000000 	        15.000000 	         1.868643 	        27.000000 	         1.000000 	         3.000000 	         4.000000 	         1.000000 	         1.277535 	         0.000000 	         1.000000 	       253.000000 	        29.682978 	        70.154708 	      3399.879598 	        85.001568 	        86.814365 	        88.747130 	        89.360277 	        91.173076 	        92.506017 	         1.200000 	         1.800000 	         0.600000 	         1.800000 	  
        20.000000 	        12.000000 	        24.000000 	        75.000000 	         2.000000 	         1.000000 	        15.000000 	         2.057963 	         5.000000 	         1.000000 	        19.000000 	         4.000000 	         2.000000 	         1.091398 	         0.000000 	         0.000000 	       253.000000 	        26.832441 	        72.725313 	      3399.879598 	        93.612359 	        95.825043 	        97.944411 	        98.357628 	       100.463670 	       101.609997 	         1.100000 	         2.200000 	         0.400000 	         2.100000 	  
        20.000000 	        13.000000 	        21.000000 	        80.000000 	         1.000000 	         1.000000 	        15.000000 	         1.369319 	        17.000000 	         7.000000 	         4.000000 	         3.000000 	         1.000000 	         0.652829 	         1.000000 	         0.000000 	       270.000000 	        24.630055 	        74.473468 	      3399.879598 	       102.516392 	       104.529140 	       105.955385 	       106.368598 	       108.381328 	       109.101121 	         0.900000 	         2.000000 	         0.400000 	         2.000000 	  
        20.000000 	        14.000000 	        18.000000 	        72.000000 	         1.000000 	         1.000000 	        15.000000 	         1.604116 	         4.000000 	         4.000000 	        14.000000 	         3.000000 	         2.000000 	         0.626594 	         0.000000 	         0.000000 	       270.000000 	        21.043026 	        73.822602 	      3399.879598 	       110.314095 	       112.326835 	       113.993011 	       114.606170 	       116.512263 	       117.205399 	         1.200000 	         2.000000 	         0.600000 	         1.900000 	  
        20.000000 	        15.000000 	        20.000000 	        74.000000 	         1.000000 	         1.000000 	        15.000000 	         0.922785 	         4.000000 	         5.000000 	        16.000000 	         8.000000 	         2.000000 	         0.814643 	         0.000000 	         1.000000 	       286.000000 	        19.700587 	        74.569035 	      3399.879598 	       118.218433 	       120.031232 	       121.017601 	       121.630761 	       123.643499 	       124.523239 	         1.000000 	         1.800000 	         0.600000 	         2.000000 	  
        20.000000 	        16.000000 	        13.000000 	        80.000000 	         1.000000 	         1.000000 	        15.000000 	         1.700858 	         1.000000 	         8.000000 	        12.000000 	         7.000000 	         2.000000 	         0.638543 	         1.000000 	         1.000000 	       298.000000 	        18.817640 	        77.884396 	      3399.879598 	       125.736212 	       127.549004 	       129.308493 	       129.721708 	       131.827742 	       132.520881 	         1.200000 	         1.800000 	         0.400000 	         2.100000 	  
        20.000000 	        17.000000 	        25.000000 	        83.000000 	         2.000000 	         1.000000 	        15.000000 	         1.513831 	         5.000000 	         4.000000 	        20.000000 	         1.000000 	         1.000000 	         1.109694 	         0.000000 	         0.000000 	       298.000000 	        18.290284 	        80.016168 	      3399.879598 	       133.627220 	       135.440013 	       137.012885 	       137.519396 	       139.732081 	       140.905068 	         1.100000 	         1.800000 	         0.500000 	         2.200000 	  
        20.000000 	        18.000000 	        18.000000 	        85.000000 	         2.000000 	         2.000000 	        15.000000 	         1.703476 	         8.000000 	         7.000000 	        77.000000 	         8.000000 	         2.000000 	         0.805959 	         0.000000 	         1.000000 	       360.000000 	        20.126629 	        80.478902 	      3399.879598 	       141.918094 	       143.930840 	       145.690319 	       146.103530 	       148.116271 	       148.982686 	         1.000000 	         2.000000 	         0.400000 	         2.000000 	  
        20.000000 	        19.000000 	        16.000000 	        81.000000 	         2.000000 	         2.000000 	        20.000000 	         0.729873 	        73.000000 	         2.000000 	         8.000000 	         9.000000 	         2.000000 	         1.119523 	         0.000000 	         1.000000 	       368.000000 	        24.931779 	        78.492390 	      3399.879598 	       149.795776 	       151.608578 	       152.395005 	       153.008157 	       155.114205 	       156.300519 	         0.800000 	         1.800000 	         0.600000 	         2.100000 	  
        20.000000 	        20.000000 	        26.000000 	        69.000000 	         2.000000 	         2.000000 	        20.000000 	         1.142180 	        14.000000 	         7.000000 	        55.000000 	         3.000000 	         1.000000 	         0.887305 	         1.000000 	         0.000000 	       382.000000 	        27.290322 	        75.653981 	      3399.879598 	       157.406861 	       159.419605 	       160.619251 	       161.032461 	       163.138504 	       164.084896 	         1.100000 	         2.000000 	         0.400000 	         2.100000 	  
        20.000000 	        21.000000 	        37.000000 	        78.000000 	         2.000000 	         2.000000 	        20.000000 	         0.762691 	        55.000000 	         2.000000 	        23.000000 	         4.000000 	         2.000000 	         1.243886 	         1.000000 	         0.000000 	       382.000000 	        30.740959 	        73.220769 	      3399.879598 	       164.897984 	       167.110663 	       167.937089 	       168.443602 	       170.549650 	       171.855929 	         0.800000 	         2.200000 	         0.500000 	         2.100000 	  
        20.000000 	        22.000000 	        36.000000 	        67.000000 	         1.000000 	         2.000000 	        20.000000 	         1.658390 	        27.000000 	         1.000000 	        40.000000 	         6.000000 	         2.000000 	         0.880920 	         0.000000 	         1.000000 	       422.000000 	        34.748088 	        70.995536 	      3399.879598 	       172.762334 	       174.975006 	       176.694502 	       177.307397 	       179.120454 	       180.066843 	         0.900000 	         2.200000 	         0.600000 	         1.800000 	  
        20.000000 	        23.000000 	        40.000000 	        61.000000 	         2.000000 	         2.000000 	        20.000000 	         0.932613 	        12.000000 	         4.000000 	        49.000000 	         9.000000 	         2.000000 	         0.795044 	         0.000000 	         1.000000 	       471.000000 	        36.819241 	        67.497663 	      3399.879598 	       181.279817 	       183.292548 	       184.278928 	       184.692132 	       186.598241 	       187.451331 	         1.200000 	         2.000000 	         0.400000 	         1.900000 	  
