C:\Behvdata\clash\clashMEG	 April 15, 2014 09:33:15	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
         1.000000 	        14.000000 	        39.000000 	        57.000000 	         2.000000 	         2.000000 	         5.000000 	         0.966266 	        34.000000 	         5.000000 	        23.000000 	         6.000000 	         1.000000 	         1.569855 	         0.000000 	         1.000000 	       338.000000 	        37.659579 	        58.331624 	      3794.367281 	       105.569801 	       107.782498 	       108.808880 	       109.422028 	       111.434785 	       113.060987 	         0.800000 	         2.200000 	         0.600000 	         2.000000 	  
         1.000000 	        15.000000 	        38.000000 	        60.000000 	         1.000000 	         2.000000 	         5.000000 	         0.984563 	        48.000000 	         6.000000 	        12.000000 	         7.000000 	         1.000000 	         1.167507 	         0.000000 	         1.000000 	       338.000000 	        42.246804 	        56.906917 	      3794.367281 	       114.167336 	       116.380037 	       117.419747 	       117.832957 	       120.045662 	       121.271976 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
         1.000000 	        16.000000 	        40.000000 	        56.000000 	         1.000000 	         2.000000 	         5.000000 	         0.837843 	        17.000000 	         3.000000 	        39.000000 	         7.000000 	         2.000000 	         0.825563 	         1.000000 	         1.000000 	       377.000000 	        43.623519 	        55.331780 	      3794.367281 	       122.378326 	       124.591023 	       125.484098 	       126.097011 	       128.003388 	       128.883124 	         1.100000 	         2.200000 	         0.600000 	         1.900000 	  
         1.000000 	        17.000000 	        43.000000 	        54.000000 	         2.000000 	         2.000000 	         5.000000 	         0.641980 	        49.000000 	         3.000000 	         5.000000 	         5.000000 	         1.000000 	         1.464540 	         0.000000 	         1.000000 	       377.000000 	        45.994250 	        53.375707 	      3794.367281 	       129.789291 	       131.602348 	       132.308812 	       132.815345 	       135.028037 	       136.547599 	         0.900000 	         1.800000 	         0.500000 	         2.200000 	  
         1.000000 	        18.000000 	        48.000000 	        55.000000 	         1.000000 	         2.000000 	         5.000000 	         0.703728 	        49.000000 	         6.000000 	         6.000000 	         9.000000 	         1.000000 	         2.528718 	         1.000000 	         1.000000 	       426.000000 	        49.199351 	        51.863328 	      3794.367281 	       137.560642 	       139.573398 	       140.333192 	       140.946344 	       142.852465 	       145.438394 	         1.000000 	         2.000000 	         0.600000 	         1.900000 	  
         1.000000 	        19.000000 	        48.000000 	        56.000000 	         2.000000 	         2.000000 	         5.000000 	         1.111559 	        17.000000 	         9.000000 	        39.000000 	         8.000000 	         2.000000 	         1.171000 	         1.000000 	         1.000000 	       465.000000 	        48.231937 	        50.853837 	      3794.367281 	       146.544742 	       148.357556 	       149.530552 	       150.037075 	       152.049825 	       153.276150 	         1.100000 	         1.800000 	         0.500000 	         2.000000 	  
         1.000000 	        20.000000 	        56.000000 	        45.000000 	         1.000000 	         2.000000 	         5.000000 	         0.894819 	        13.000000 	         6.000000 	        32.000000 	         2.000000 	         1.000000 	         1.656035 	         1.000000 	         0.000000 	       478.000000 	        49.940221 	        46.568590 	      3794.367281 	       154.289194 	       156.102015 	       157.061735 	       157.674895 	       159.780975 	       161.500463 	         1.000000 	         1.800000 	         0.600000 	         2.100000 	  
         1.000000 	        21.000000 	        47.000000 	        48.000000 	         2.000000 	         2.000000 	         5.000000 	         1.118752 	        34.000000 	         2.000000 	        14.000000 	         4.000000 	         2.000000 	         1.788360 	         1.000000 	         0.000000 	       478.000000 	        53.920672 	        46.380625 	      3794.367281 	       162.313564 	       164.526270 	       165.699260 	       166.205790 	       168.311857 	       170.164651 	         0.800000 	         2.200000 	         0.500000 	         2.100000 	  
         1.000000 	        22.000000 	        58.000000 	        41.000000 	         1.000000 	         2.000000 	         5.000000 	         0.864660 	        16.000000 	         1.000000 	        25.000000 	         6.000000 	         2.000000 	         0.783480 	         0.000000 	         1.000000 	       503.000000 	        57.000613 	        45.228999 	      3794.367281 	       171.071057 	       173.283768 	       174.203502 	       174.816662 	       176.629474 	       177.469229 	         0.900000 	         2.200000 	         0.600000 	         1.800000 	  
         1.000000 	        23.000000 	        62.000000 	        36.000000 	         2.000000 	         2.000000 	         5.000000 	         0.981341 	         7.000000 	         4.000000 	        29.000000 	         9.000000 	         2.000000 	         0.766089 	         0.000000 	         1.000000 	       532.000000 	        58.181665 	        42.761787 	      3794.367281 	       178.682213 	       180.694973 	       181.734673 	       182.147896 	       184.054017 	       184.880440 	         1.200000 	         2.000000 	         0.400000 	         1.900000 	  
