C:\behvdata\clash\clashMEG	 June 04, 2014 15:36:37	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       18.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         1.617148 	        45.000000 	         8.000000 	         5.000000 	         2.000000 	         1.000000 	         1.454908 	         1.000000 	         0.000000 	        45.000000 	        50.000000 	        50.000000 	     25701.504938 	         0.000000 	         1.812788 	         3.492295 	         3.905525 	         5.718308 	         7.237862 	         0.900000 	         1.800000 	         0.400000 	         1.800000 	  
        18.000000 	         2.000000 	        48.000000 	        52.000000 	         1.000000 	         1.000000 	         5.000000 	         0.933929 	        19.000000 	         7.000000 	        29.000000 	         4.000000 	         2.000000 	         1.137494 	         1.000000 	         0.000000 	        45.000000 	        46.308887 	        50.970593 	     25701.504938 	         8.250894 	        10.063696 	        11.063394 	        11.569911 	        13.475751 	        14.675655 	         1.000000 	         1.800000 	         0.500000 	         1.900000 	  
        18.000000 	         3.000000 	        44.000000 	        50.000000 	         1.000000 	         2.000000 	         5.000000 	         0.847537 	        35.000000 	         1.000000 	        15.000000 	         4.000000 	         2.000000 	         1.494491 	         0.000000 	         0.000000 	        40.000000 	        44.109023 	        51.309378 	     25701.504938 	        15.888640 	        18.101311 	        19.007717 	        19.620871 	        21.726913 	        23.286455 	         1.200000 	         2.200000 	         0.600000 	         2.100000 	  
        18.000000 	         4.000000 	        51.000000 	        48.000000 	         1.000000 	         2.000000 	         5.000000 	         1.452877 	        10.000000 	         6.000000 	        38.000000 	         8.000000 	         2.000000 	         1.097158 	         1.000000 	         1.000000 	        78.000000 	        47.579285 	        48.102715 	     25701.504938 	        24.299489 	        26.312225 	        27.818444 	        28.231402 	        30.444334 	        31.603987 	         1.000000 	         2.000000 	         0.400000 	         2.200000 	  
        18.000000 	         5.000000 	        43.000000 	        40.000000 	         2.000000 	         1.000000 	         5.000000 	         1.170728 	        17.000000 	         5.000000 	        26.000000 	         1.000000 	         1.000000 	         1.485099 	         1.000000 	         0.000000 	        90.000000 	        48.144912 	        45.759368 	     25701.504938 	        32.710330 	        34.523135 	        35.749434 	        36.162653 	        38.175391 	        39.721599 	         1.100000 	         1.800000 	         0.400000 	         2.000000 	  
        18.000000 	         6.000000 	        46.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         1.281483 	         9.000000 	         6.000000 	        37.000000 	         2.000000 	         1.000000 	         1.743866 	         1.000000 	         0.000000 	        99.000000 	        47.418077 	        48.204505 	     25701.504938 	        40.934573 	        42.747371 	        44.093636 	        44.600067 	        46.812839 	        48.612308 	         1.200000 	         1.800000 	         0.500000 	         2.200000 	  
        18.000000 	         7.000000 	        48.000000 	        48.000000 	         1.000000 	         1.000000 	        10.000000 	         1.022720 	         5.000000 	         7.000000 	        43.000000 	         1.000000 	         2.000000 	         2.140767 	         1.000000 	         0.000000 	        99.000000 	        44.921497 	        51.536755 	     25701.504938 	        49.625341 	        51.438122 	        52.517541 	        52.931029 	        54.743818 	        56.943174 	         1.000000 	         1.800000 	         0.400000 	         1.800000 	  
        18.000000 	         8.000000 	        42.000000 	        53.000000 	         1.000000 	         1.000000 	        10.000000 	         1.228106 	         4.000000 	         6.000000 	        38.000000 	         9.000000 	         2.000000 	         1.100475 	         1.000000 	         1.000000 	       137.000000 	        41.451411 	        54.400972 	     25701.504938 	        57.756266 	        59.968955 	        61.261898 	        61.675115 	        63.487908 	        64.647564 	         0.800000 	         2.200000 	         0.400000 	         1.800000 	  
        18.000000 	         9.000000 	        45.000000 	        57.000000 	         2.000000 	         1.000000 	        10.000000 	         0.997924 	         9.000000 	         1.000000 	        36.000000 	         9.000000 	         2.000000 	         1.330082 	         0.000000 	         1.000000 	       173.000000 	        40.391036 	        55.593837 	     25701.504938 	        65.553961 	        67.766644 	        68.819669 	        69.232875 	        71.338921 	        72.725184 	         0.900000 	         2.200000 	         0.400000 	         2.100000 	  
        18.000000 	        10.000000 	        35.000000 	        65.000000 	         1.000000 	         1.000000 	        10.000000 	         1.376518 	         3.000000 	         8.000000 	        32.000000 	         2.000000 	         2.000000 	         1.865138 	         1.000000 	         0.000000 	       173.000000 	        39.109940 	        56.740251 	     25701.504938 	        73.831519 	        75.644320 	        77.083883 	        77.697048 	        79.603144 	        81.522575 	         1.100000 	         1.800000 	         0.600000 	         1.900000 	  
        18.000000 	        11.000000 	        35.000000 	        66.000000 	         2.000000 	         2.000000 	        10.000000 	         1.210718 	        20.000000 	         7.000000 	        46.000000 	         4.000000 	         1.000000 	         1.584658 	         0.000000 	         0.000000 	       163.000000 	        36.009597 	        58.041018 	     25701.504938 	        82.428984 	        84.241774 	        85.508083 	        85.921277 	        88.027324 	        89.666847 	         0.900000 	         1.800000 	         0.400000 	         2.100000 	  
        18.000000 	        12.000000 	        31.000000 	        60.000000 	         1.000000 	         2.000000 	        10.000000 	         0.842152 	        18.000000 	         7.000000 	        42.000000 	         4.000000 	         1.000000 	         1.760373 	         0.000000 	         1.000000 	       163.000000 	        37.873972 	        55.252734 	     25701.504938 	        90.573248 	        92.785920 	        93.692317 	        94.198837 	        96.011632 	        97.837767 	         0.900000 	         2.200000 	         0.500000 	         1.800000 	  
        18.000000 	        13.000000 	        40.000000 	        62.000000 	         2.000000 	         2.000000 	        10.000000 	         0.924201 	         6.000000 	         8.000000 	        56.000000 	         5.000000 	         2.000000 	         1.725674 	         0.000000 	         0.000000 	       163.000000 	        39.924299 	        53.264273 	     25701.504938 	        98.650861 	       100.463654 	       101.450032 	       101.956544 	       103.862657 	       105.648790 	         0.800000 	         1.800000 	         0.500000 	         1.900000 	  
        18.000000 	        14.000000 	        41.000000 	        50.000000 	         2.000000 	         2.000000 	        10.000000 	         0.787740 	        10.000000 	         6.000000 	        40.000000 	         4.000000 	         1.000000 	         1.436848 	         0.000000 	         1.000000 	       163.000000 	        42.728128 	        51.180841 	     25701.504938 	       106.555189 	       108.367997 	       109.220916 	       109.834215 	       112.046898 	       113.539794 	         0.900000 	         1.800000 	         0.600000 	         2.200000 	  
        18.000000 	        15.000000 	        41.000000 	        54.000000 	         2.000000 	         2.000000 	        10.000000 	         0.721130 	        22.000000 	         9.000000 	        32.000000 	         2.000000 	         1.000000 	         1.498443 	         1.000000 	         0.000000 	       185.000000 	        44.649551 	        49.963891 	     25701.504938 	       114.646129 	       116.458936 	       117.245431 	       117.751883 	       119.657984 	       121.217530 	         1.100000 	         1.800000 	         0.500000 	         1.900000 	  
        18.000000 	        16.000000 	        45.000000 	        53.000000 	         2.000000 	         2.000000 	        10.000000 	         0.723253 	        16.000000 	         3.000000 	        37.000000 	         1.000000 	         1.000000 	         1.697723 	         0.000000 	         0.000000 	       185.000000 	        46.128232 	        48.558922 	     25701.504938 	       122.123929 	       124.336609 	       125.123034 	       125.536254 	       127.442355 	       129.201833 	         0.900000 	         2.200000 	         0.400000 	         1.900000 	  
        18.000000 	        17.000000 	        41.000000 	        44.000000 	         1.000000 	         2.000000 	        10.000000 	         0.768366 	         9.000000 	         3.000000 	        35.000000 	         1.000000 	         1.000000 	         1.606536 	         0.000000 	         1.000000 	       185.000000 	        46.912465 	        45.925006 	     25701.504938 	       130.414761 	       132.427545 	       133.253974 	       133.667177 	       135.573281 	       137.239462 	         1.200000 	         2.000000 	         0.400000 	         1.900000 	  
        18.000000 	        18.000000 	        47.000000 	        38.000000 	         2.000000 	         2.000000 	        10.000000 	         0.866637 	        11.000000 	         7.000000 	        27.000000 	         9.000000 	         2.000000 	         1.446078 	         1.000000 	         1.000000 	       212.000000 	        49.748629 	        43.505147 	     25701.504938 	       138.252495 	       140.065296 	       140.998248 	       141.411558 	       143.317664 	       144.823883 	         1.000000 	         1.800000 	         0.400000 	         1.900000 	  
