C:\behvdata\clash\clashMEG	 May 07, 2014 11:43:49	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        8.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         1.955203 	        45.000000 	         5.000000 	         5.000000 	         3.000000 	         1.000000 	         1.081077 	         0.000000 	         0.000000 	         0.000000 	        50.000000 	        50.000000 	     10405.649652 	         0.000000 	         2.012747 	         4.025479 	         4.532003 	         6.638038 	         7.784369 	         1.000000 	         2.000000 	         0.500000 	         2.100000 	  
         8.000000 	         2.000000 	        46.000000 	        55.000000 	         2.000000 	         1.000000 	         5.000000 	         0.828845 	        18.000000 	         7.000000 	        28.000000 	         2.000000 	         1.000000 	         1.097138 	         1.000000 	         0.000000 	        18.000000 	        47.956259 	        51.443369 	     10405.649652 	         8.797402 	        10.810146 	        11.703212 	        12.116428 	        14.222466 	        15.382132 	         1.000000 	         2.000000 	         0.400000 	         2.100000 	  
         8.000000 	         3.000000 	        50.000000 	        56.000000 	         2.000000 	         1.000000 	         5.000000 	         1.007906 	        20.000000 	         7.000000 	        30.000000 	         2.000000 	         1.000000 	         1.347146 	         1.000000 	         0.000000 	        38.000000 	        46.162794 	        53.754225 	     10405.649652 	        16.595096 	        18.607841 	        19.674195 	        20.087399 	        21.900196 	        23.313112 	         1.200000 	         2.000000 	         0.400000 	         1.800000 	  
         8.000000 	         4.000000 	        48.000000 	        55.000000 	         2.000000 	         1.000000 	         5.000000 	         0.843704 	        34.000000 	         7.000000 	        14.000000 	         6.000000 	         1.000000 	         0.783395 	         1.000000 	         1.000000 	        72.000000 	        42.985185 	        56.113868 	     10405.649652 	        24.126210 	        25.939003 	        26.845405 	        27.258618 	        29.271356 	        30.110858 	         0.800000 	         1.800000 	         0.400000 	         2.000000 	  
         8.000000 	         5.000000 	        40.000000 	        56.000000 	         1.000000 	         1.000000 	         5.000000 	         0.552543 	        32.000000 	         6.000000 	         8.000000 	         2.000000 	         1.000000 	         0.953854 	         0.000000 	         0.000000 	        72.000000 	        42.216655 	        58.281431 	     10405.649652 	        31.017501 	        32.830296 	        33.443449 	        33.856661 	        35.869408 	        36.882438 	         0.900000 	         1.800000 	         0.400000 	         2.000000 	  
         8.000000 	         6.000000 	        42.000000 	        56.000000 	         1.000000 	         1.000000 	         5.000000 	         0.499002 	         8.000000 	         2.000000 	        34.000000 	         8.000000 	         2.000000 	         0.795176 	         1.000000 	         1.000000 	       106.000000 	        41.354082 	        57.963260 	     10405.649652 	        37.695532 	        39.908208 	        40.468040 	        41.081198 	        42.987303 	        43.840380 	         0.800000 	         2.200000 	         0.600000 	         1.900000 	  
         8.000000 	         7.000000 	        42.000000 	        63.000000 	         1.000000 	         1.000000 	         5.000000 	         0.628511 	        17.000000 	         3.000000 	        25.000000 	         9.000000 	         2.000000 	         0.901944 	         0.000000 	         1.000000 	       131.000000 	        39.763947 	        60.643028 	     10405.649652 	        44.853421 	        47.066090 	        47.759224 	        48.172431 	        50.385110 	        51.344823 	         1.000000 	         2.200000 	         0.400000 	         2.200000 	  
         8.000000 	         8.000000 	        32.000000 	        61.000000 	         1.000000 	         1.000000 	         5.000000 	         0.787910 	        10.000000 	         6.000000 	        22.000000 	         1.000000 	         1.000000 	         1.047530 	         0.000000 	         0.000000 	       131.000000 	        36.249625 	        63.086932 	     10405.649652 	        52.357863 	        54.170665 	        55.023746 	        55.436958 	        57.343057 	        58.449388 	         1.000000 	         1.800000 	         0.400000 	         1.900000 	  
         8.000000 	         9.000000 	        38.000000 	        65.000000 	         2.000000 	         1.000000 	         5.000000 	         0.542165 	         4.000000 	         7.000000 	        34.000000 	         4.000000 	         2.000000 	         1.695552 	         1.000000 	         1.000000 	       165.000000 	        34.073385 	        63.202460 	     10405.649652 	        59.355796 	        61.368534 	        61.968360 	        62.474878 	        64.687392 	        66.447027 	         0.900000 	         2.000000 	         0.500000 	         2.200000 	  
         8.000000 	        10.000000 	        34.000000 	        70.000000 	         1.000000 	         1.000000 	         5.000000 	         1.317951 	         7.000000 	         9.000000 	        27.000000 	         4.000000 	         1.000000 	         1.023466 	         1.000000 	         0.000000 	       172.000000 	        32.843433 	        65.190487 	     10405.649652 	        67.460071 	        69.272864 	        70.645805 	        71.258950 	        73.471626 	        74.551265 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
         8.000000 	        11.000000 	        35.000000 	        67.000000 	         1.000000 	         1.000000 	         5.000000 	         0.589491 	        11.000000 	         7.000000 	        24.000000 	         5.000000 	         2.000000 	         1.326663 	         1.000000 	         0.000000 	       172.000000 	        31.606460 	        65.836463 	     10405.649652 	        75.764273 	        77.577078 	        78.230219 	        78.643431 	        80.656168 	        82.042435 	         1.200000 	         1.800000 	         0.400000 	         2.000000 	  
         8.000000 	        12.000000 	        29.000000 	        69.000000 	         2.000000 	         2.000000 	         5.000000 	         0.745770 	        48.000000 	         4.000000 	        21.000000 	         7.000000 	         1.000000 	         1.131502 	         1.000000 	         1.000000 	       215.000000 	        29.407958 	        68.733625 	     10405.649652 	        83.055456 	        84.868251 	        85.668022 	        86.081228 	        87.987333 	        89.173649 	         1.000000 	         1.800000 	         0.400000 	         1.900000 	  
         8.000000 	        13.000000 	        30.000000 	        64.000000 	         2.000000 	         2.000000 	        15.000000 	         0.937563 	         6.000000 	         6.000000 	        58.000000 	         4.000000 	         2.000000 	         1.155028 	         1.000000 	         0.000000 	       215.000000 	        32.628113 	        66.397053 	     10405.649652 	        90.279986 	        92.492672 	        93.492377 	        93.998887 	        96.211564 	        97.424539 	         1.100000 	         2.200000 	         0.500000 	         2.200000 	  
         8.000000 	        14.000000 	        36.000000 	        61.000000 	         1.000000 	         2.000000 	        15.000000 	         0.867637 	        24.000000 	         7.000000 	        37.000000 	         2.000000 	         1.000000 	         0.869249 	         1.000000 	         0.000000 	       239.000000 	        35.062359 	        63.513881 	     10405.649652 	        98.637512 	       100.850191 	       101.783250 	       102.396411 	       104.609088 	       105.542149 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
         8.000000 	        15.000000 	        43.000000 	        62.000000 	         2.000000 	         2.000000 	        15.000000 	         0.529088 	        25.000000 	         9.000000 	        37.000000 	         7.000000 	         1.000000 	         1.148274 	         0.000000 	         1.000000 	       239.000000 	        38.159125 	        62.446604 	     10405.649652 	       106.448537 	       108.661218 	       109.247709 	       109.860865 	       112.073551 	       113.286519 	         0.900000 	         2.200000 	         0.600000 	         2.200000 	  
         8.000000 	        16.000000 	        41.000000 	        61.000000 	         2.000000 	         2.000000 	        15.000000 	         0.607879 	        55.000000 	         9.000000 	         6.000000 	         2.000000 	         1.000000 	         0.881536 	         1.000000 	         0.000000 	       294.000000 	        41.490050 	        59.475391 	     10405.649652 	       114.192938 	       116.005723 	       116.672190 	       117.178706 	       119.084700 	       120.031201 	         0.900000 	         1.800000 	         0.500000 	         1.900000 	  
         8.000000 	        17.000000 	        39.000000 	        59.000000 	         2.000000 	         2.000000 	        15.000000 	         2.564599 	        12.000000 	         9.000000 	        47.000000 	         6.000000 	         2.000000 	         1.505614 	         1.000000 	         1.000000 	       341.000000 	        40.558209 	        58.278270 	     10405.649652 	       121.244164 	       123.056971 	       125.682859 	       126.296011 	       128.508686 	       130.081560 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
         8.000000 	        18.000000 	        42.000000 	        59.000000 	         2.000000 	         2.000000 	        15.000000 	         0.524691 	        18.000000 	         7.000000 	        41.000000 	         8.000000 	         2.000000 	         0.787436 	         1.000000 	         1.000000 	       382.000000 	        44.169468 	        56.410982 	     10405.649652 	       131.187906 	       133.000692 	       133.587183 	       134.000402 	       136.106441 	       136.959527 	         1.100000 	         1.800000 	         0.400000 	         2.100000 	  
         8.000000 	        19.000000 	        50.000000 	        54.000000 	         1.000000 	         2.000000 	        15.000000 	         0.804011 	        11.000000 	         5.000000 	        43.000000 	         6.000000 	         2.000000 	         1.098956 	         0.000000 	         1.000000 	       425.000000 	        45.585003 	        54.153995 	     10405.649652 	       137.972553 	       139.785352 	       140.651773 	       141.158289 	       143.171025 	       144.330682 	         1.000000 	         1.800000 	         0.500000 	         2.000000 	  
         8.000000 	        20.000000 	        41.000000 	        50.000000 	         2.000000 	         2.000000 	        15.000000 	         0.571324 	        10.000000 	         7.000000 	        40.000000 	         1.000000 	         1.000000 	         1.128045 	         1.000000 	         1.000000 	       435.000000 	        45.190448 	        51.813517 	     10405.649652 	       145.237089 	       147.449754 	       148.076237 	       148.689396 	       150.902042 	       152.088171 	         0.900000 	         2.200000 	         0.600000 	         2.200000 	  
         8.000000 	        21.000000 	        45.000000 	        45.000000 	         1.000000 	         2.000000 	        15.000000 	         1.662180 	        13.000000 	         7.000000 	        32.000000 	         3.000000 	         1.000000 	         1.095184 	         1.000000 	         0.000000 	       448.000000 	        47.434868 	        51.730301 	     10405.649652 	       152.994787 	       155.207468 	       156.926953 	       157.540114 	       159.646151 	       160.805811 	         0.900000 	         2.200000 	         0.600000 	         2.100000 	  
         8.000000 	        22.000000 	        51.000000 	        44.000000 	         1.000000 	         2.000000 	        15.000000 	         0.685354 	        13.000000 	         5.000000 	        31.000000 	         4.000000 	         2.000000 	         1.011796 	         0.000000 	         0.000000 	       448.000000 	        50.196269 	        48.034299 	     10405.649652 	       161.818842 	       163.831591 	       164.578028 	       164.991244 	       166.897347 	       167.963704 	         1.000000 	         2.000000 	         0.400000 	         1.900000 	  
         8.000000 	        23.000000 	        47.000000 	        50.000000 	         1.000000 	         2.000000 	        15.000000 	         0.473944 	        35.000000 	         5.000000 	        15.000000 	         8.000000 	         1.000000 	         2.187311 	         1.000000 	         1.000000 	       483.000000 	        51.261110 	        46.392994 	     10405.649652 	       168.870097 	       170.682888 	       171.216071 	       171.629288 	       173.642015 	       175.894687 	         0.900000 	         1.800000 	         0.400000 	         2.000000 	  
         8.000000 	        24.000000 	        51.000000 	        40.000000 	         1.000000 	         2.000000 	        15.000000 	         1.365322 	        24.000000 	         8.000000 	        16.000000 	         7.000000 	         1.000000 	         0.787366 	         1.000000 	         1.000000 	       507.000000 	        53.535143 	        42.035023 	     10405.649652 	       176.707779 	       178.920331 	       180.346709 	       180.853220 	       182.666013 	       183.519102 	         0.800000 	         2.200000 	         0.500000 	         1.800000 	  
         8.000000 	        25.000000 	        49.000000 	        46.000000 	         2.000000 	         2.000000 	        15.000000 	         0.780006 	         5.000000 	         9.000000 	        41.000000 	         5.000000 	         2.000000 	         1.226434 	         0.000000 	         0.000000 	       507.000000 	        55.936132 	        41.964813 	     10405.649652 	       184.732070 	       186.544866 	       187.384625 	       187.997780 	       190.010517 	       191.303471 	         1.200000 	         1.800000 	         0.600000 	         2.000000 	  
         8.000000 	        26.000000 	        60.000000 	        45.000000 	         2.000000 	         2.000000 	        15.000000 	         0.659638 	        31.000000 	         1.000000 	        14.000000 	         8.000000 	         2.000000 	         1.212758 	         0.000000 	         1.000000 	       521.000000 	        57.109503 	        42.694663 	     10405.649652 	       192.516436 	       194.529186 	       195.248970 	       195.755482 	       197.968157 	       199.247779 	         1.200000 	         2.000000 	         0.500000 	         2.200000 	  
         8.000000 	        27.000000 	        55.000000 	        39.000000 	         2.000000 	         2.000000 	        15.000000 	         0.558245 	         4.000000 	         5.000000 	        35.000000 	         7.000000 	         2.000000 	         0.911128 	         1.000000 	         0.000000 	       521.000000 	        58.291005 	        41.393749 	     10405.649652 	       200.154185 	       202.166922 	       202.780077 	       203.193280 	       205.006083 	       205.979127 	         0.900000 	         2.000000 	         0.400000 	         1.800000 	  
         8.000000 	        28.000000 	        62.000000 	        39.000000 	         2.000000 	         2.000000 	        15.000000 	         0.498706 	        31.000000 	         3.000000 	         8.000000 	         6.000000 	         2.000000 	         0.890992 	         0.000000 	         0.000000 	       521.000000 	        62.215885 	        38.247100 	     10405.649652 	       206.885524 	       208.898270 	       209.458106 	       210.071251 	       211.977363 	       212.923739 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
         8.000000 	        29.000000 	        68.000000 	        37.000000 	         2.000000 	         2.000000 	        15.000000 	         0.543016 	         7.000000 	         9.000000 	        30.000000 	         2.000000 	         1.000000 	         1.117503 	         1.000000 	         0.000000 	       528.000000 	        65.647848 	        36.145046 	     10405.649652 	       213.736840 	       215.549611 	       216.149461 	       216.562668 	       218.375465 	       219.548344 	         0.800000 	         1.800000 	         0.400000 	         1.800000 	  
         8.000000 	        30.000000 	        63.000000 	        34.000000 	         2.000000 	         2.000000 	        15.000000 	         0.618634 	        20.000000 	         8.000000 	        14.000000 	         7.000000 	         1.000000 	         0.885549 	         1.000000 	         1.000000 	       548.000000 	        65.216841 	        33.941209 	     10405.649652 	       220.454843 	       226.466403 	       227.146213 	       227.652728 	       229.758766 	       230.705160 	         0.900000 	         6.000000 	         0.500000 	         2.100000 	  
         8.000000 	        31.000000 	        69.000000 	        35.000000 	         1.000000 	         2.000000 	        15.000000 	         0.988052 	        31.000000 	         3.000000 	         4.000000 	         4.000000 	         1.000000 	         0.975583 	         1.000000 	         0.000000 	       579.000000 	        67.871445 	        33.540501 	     10405.649652 	       231.611557 	       233.624297 	       234.677314 	       235.090530 	       237.196572 	       238.236257 	         0.900000 	         2.000000 	         0.400000 	         2.100000 	  
         8.000000 	        32.000000 	        70.000000 	        35.000000 	         1.000000 	         1.000000 	        15.000000 	         1.697500 	         7.000000 	         5.000000 	        63.000000 	         9.000000 	         2.000000 	         0.791249 	         1.000000 	         1.000000 	       627.000000 	        68.994655 	        32.074646 	     10405.649652 	       239.342600 	       241.555285 	       243.314769 	       243.727980 	       245.940644 	       246.793741 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
         8.000000 	        33.000000 	        63.000000 	        37.000000 	         2.000000 	         1.000000 	         5.000000 	         0.944375 	        13.000000 	         4.000000 	        50.000000 	         3.000000 	         2.000000 	         1.138079 	         0.000000 	         0.000000 	       627.000000 	        67.212980 	        34.773698 	     10405.649652 	       247.606831 	       249.419630 	       250.419324 	       250.832545 	       252.938583 	       254.138231 	         0.800000 	         1.800000 	         0.400000 	         2.100000 	  
         8.000000 	        34.000000 	        65.000000 	        41.000000 	         1.000000 	         1.000000 	         5.000000 	         0.570421 	        39.000000 	         2.000000 	        26.000000 	         5.000000 	         2.000000 	         1.208919 	         0.000000 	         0.000000 	       627.000000 	        62.110974 	        37.489955 	     10405.649652 	       255.244568 	       257.257307 	       257.883795 	       258.390306 	       260.403051 	       261.669335 	         1.100000 	         2.000000 	         0.500000 	         2.000000 	  
         8.000000 	        35.000000 	        59.000000 	        36.000000 	         1.000000 	         1.000000 	         5.000000 	         0.564825 	        41.000000 	         4.000000 	        18.000000 	         7.000000 	         2.000000 	         1.267271 	         0.000000 	         1.000000 	       645.000000 	        60.174620 	        38.134229 	     10405.649652 	       262.482437 	       264.295224 	       264.921711 	       265.534869 	       267.640906 	       268.973845 	         0.800000 	         1.800000 	         0.600000 	         2.100000 	  
         8.000000 	        36.000000 	        56.000000 	        44.000000 	         1.000000 	         1.000000 	         5.000000 	         0.492186 	        11.000000 	         5.000000 	        45.000000 	         3.000000 	         2.000000 	         1.295520 	         0.000000 	         1.000000 	       690.000000 	        58.133078 	        41.155899 	     10405.649652 	       269.786935 	       271.999623 	       272.546122 	       273.159273 	       274.972069 	       276.331674 	         0.800000 	         2.200000 	         0.600000 	         1.800000 	  
         8.000000 	        37.000000 	        58.000000 	        42.000000 	         2.000000 	         1.000000 	         5.000000 	         0.846362 	        23.000000 	         5.000000 	        35.000000 	         3.000000 	         1.000000 	         1.140320 	         0.000000 	         0.000000 	       690.000000 	        55.554154 	        42.430861 	     10405.649652 	       277.544646 	       279.357438 	       280.263841 	       280.770363 	       282.783101 	       283.982747 	         1.200000 	         1.800000 	         0.500000 	         2.000000 	  
         8.000000 	        38.000000 	        56.000000 	        40.000000 	         2.000000 	         1.000000 	         5.000000 	         0.610793 	        34.000000 	         9.000000 	        22.000000 	         1.000000 	         1.000000 	         0.753524 	         1.000000 	         0.000000 	       724.000000 	        53.933577 	        43.811804 	     10405.649652 	       284.995783 	       287.208461 	       287.874925 	       288.488045 	       290.394182 	       291.207279 	         1.000000 	         2.200000 	         0.600000 	         1.900000 	  
         8.000000 	        39.000000 	        48.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         0.538824 	        29.000000 	         1.000000 	        19.000000 	         5.000000 	         2.000000 	         1.169233 	         0.000000 	         1.000000 	       743.000000 	        51.400942 	        46.816762 	     10405.649652 	       292.420246 	       294.632933 	       295.232752 	       295.845901 	       297.858649 	       299.084948 	         1.200000 	         2.200000 	         0.600000 	         2.000000 	  
         8.000000 	        40.000000 	        46.000000 	        46.000000 	         1.000000 	         1.000000 	         5.000000 	         0.725240 	         5.000000 	         6.000000 	        41.000000 	         3.000000 	         2.000000 	         1.285657 	         1.000000 	         0.000000 	       743.000000 	        48.354668 	        49.247206 	     10405.649652 	       300.097989 	       302.310664 	       303.097101 	       303.603616 	       305.509713 	       306.855992 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
         8.000000 	        41.000000 	        45.000000 	        56.000000 	         2.000000 	         1.000000 	         5.000000 	         0.569144 	         9.000000 	         4.000000 	        36.000000 	         6.000000 	         2.000000 	         0.842920 	         1.000000 	         1.000000 	       779.000000 	        46.059179 	        50.916104 	     10405.649652 	       307.869019 	       309.681819 	       310.308051 	       310.814821 	       312.920860 	       313.827259 	         1.000000 	         1.800000 	         0.500000 	         2.100000 	  
         8.000000 	        42.000000 	        50.000000 	        52.000000 	         2.000000 	         1.000000 	         5.000000 	         0.416849 	        30.000000 	         3.000000 	        20.000000 	         2.000000 	         1.000000 	         1.153823 	         0.000000 	         0.000000 	       779.000000 	        44.333581 	        54.595265 	     10405.649652 	       314.733664 	       316.946342 	       317.426194 	       318.039352 	       319.945451 	       321.158429 	         0.900000 	         2.200000 	         0.600000 	         1.900000 	  
         8.000000 	        43.000000 	        45.000000 	        57.000000 	         2.000000 	         1.000000 	         5.000000 	         0.605431 	        13.000000 	         9.000000 	        32.000000 	         2.000000 	         1.000000 	         1.033648 	         1.000000 	         0.000000 	       792.000000 	        42.593189 	        55.032216 	     10405.649652 	       322.064820 	       324.077572 	       324.744035 	       325.357192 	       327.169987 	       328.262770 	         0.900000 	         2.000000 	         0.600000 	         1.800000 	  
         8.000000 	        44.000000 	        47.000000 	        61.000000 	         1.000000 	         1.000000 	         5.000000 	         0.540890 	         5.000000 	         7.000000 	        42.000000 	         3.000000 	         1.000000 	         1.051729 	         0.000000 	         0.000000 	       792.000000 	        41.750993 	        55.320600 	     10405.649652 	       329.369328 	       331.582019 	       332.181833 	       332.595042 	       334.607779 	       335.714118 	         1.100000 	         2.200000 	         0.400000 	         2.000000 	  
         8.000000 	        45.000000 	        41.000000 	        55.000000 	         1.000000 	         1.000000 	         5.000000 	         0.495539 	        37.000000 	         1.000000 	         4.000000 	         7.000000 	         1.000000 	         1.813179 	         0.000000 	         1.000000 	       792.000000 	        38.874679 	        57.691877 	     10405.649652 	       336.727154 	       338.939836 	       339.499661 	       340.112831 	       342.325503 	       344.204951 	         1.000000 	         2.200000 	         0.600000 	         2.200000 	  
         8.000000 	        46.000000 	        40.000000 	        60.000000 	         2.000000 	         1.000000 	         5.000000 	         0.676705 	        16.000000 	         5.000000 	        24.000000 	         1.000000 	         1.000000 	         0.991860 	         0.000000 	         0.000000 	       792.000000 	        36.387540 	        60.612509 	     10405.649652 	       345.217981 	       347.430667 	       348.163781 	       348.776933 	       350.882972 	       351.935994 	         1.000000 	         2.200000 	         0.600000 	         2.100000 	  
         8.000000 	        47.000000 	        35.000000 	        67.000000 	         2.000000 	         1.000000 	         5.000000 	         0.634036 	        11.000000 	         4.000000 	        24.000000 	         1.000000 	         1.000000 	         1.172800 	         0.000000 	         0.000000 	       792.000000 	        33.753350 	        63.031966 	     10405.649652 	       352.949027 	       355.161701 	       355.854846 	       356.361360 	       358.174150 	       359.413790 	         1.000000 	         2.200000 	         0.500000 	         1.800000 	  
         8.000000 	        48.000000 	        34.000000 	        60.000000 	         1.000000 	         2.000000 	         5.000000 	         0.726396 	        12.000000 	         6.000000 	        48.000000 	         2.000000 	         1.000000 	         1.652232 	         1.000000 	         1.000000 	       799.000000 	        31.811045 	        65.473283 	     10405.649652 	       360.520122 	       362.732808 	       363.519237 	       364.025764 	       366.238440 	       367.957924 	         1.100000 	         2.200000 	         0.500000 	         2.200000 	  
         8.000000 	        49.000000 	        34.000000 	        61.000000 	         1.000000 	         2.000000 	        10.000000 	         0.886042 	        24.000000 	         3.000000 	        37.000000 	         1.000000 	         1.000000 	         1.379843 	         1.000000 	         0.000000 	       823.000000 	        34.150576 	        60.676647 	     10405.649652 	       368.864327 	       371.077004 	       372.023396 	       372.529912 	       374.342708 	       375.782272 	         0.900000 	         2.200000 	         0.500000 	         1.800000 	  
         8.000000 	        50.000000 	        34.000000 	        59.000000 	         2.000000 	         2.000000 	        10.000000 	         0.594851 	        47.000000 	         5.000000 	        12.000000 	         1.000000 	         1.000000 	         0.672467 	         1.000000 	         0.000000 	       870.000000 	        37.670337 	        58.484727 	     10405.649652 	       376.795315 	       378.808064 	       379.460985 	       379.967720 	       381.873817 	       382.606940 	         1.000000 	         2.000000 	         0.500000 	         1.900000 	  
         8.000000 	        51.000000 	        39.000000 	        54.000000 	         2.000000 	         2.000000 	        10.000000 	         0.554013 	         5.000000 	         1.000000 	        49.000000 	         7.000000 	         2.000000 	         1.821363 	         0.000000 	         0.000000 	       870.000000 	        42.236134 	        55.378102 	     10405.649652 	       383.619963 	       385.432770 	       386.045911 	       386.659067 	       388.765112 	       390.644555 	         1.000000 	         1.800000 	         0.600000 	         2.100000 	  
         8.000000 	        52.000000 	        43.000000 	        59.000000 	         2.000000 	         2.000000 	        10.000000 	         0.548335 	        12.000000 	         2.000000 	        47.000000 	         7.000000 	         2.000000 	         0.767071 	         1.000000 	         0.000000 	       870.000000 	        44.035192 	        54.671015 	     10405.649652 	       391.657593 	       393.870273 	       394.483423 	       394.989691 	       396.802734 	       397.628920 	         1.000000 	         2.200000 	         0.500000 	         1.800000 	  
         8.000000 	        53.000000 	        50.000000 	        53.000000 	         1.000000 	         2.000000 	        10.000000 	         0.587053 	        11.000000 	         4.000000 	        42.000000 	         9.000000 	         2.000000 	         0.663067 	         0.000000 	         1.000000 	       912.000000 	        47.335257 	        56.182953 	     10405.649652 	       398.842143 	       400.854871 	       401.508015 	       402.121175 	       404.227222 	       404.946996 	         1.200000 	         2.000000 	         0.600000 	         2.100000 	  
         8.000000 	        54.000000 	        45.000000 	        56.000000 	         2.000000 	         2.000000 	        10.000000 	         0.744622 	        50.000000 	         9.000000 	         6.000000 	         2.000000 	         1.000000 	         0.718000 	         1.000000 	         0.000000 	       962.000000 	        47.661202 	        54.182457 	     10405.649652 	       405.853395 	       408.066073 	       408.865838 	       409.479000 	       411.491729 	       412.264838 	         0.900000 	         2.200000 	         0.600000 	         2.000000 	  
         8.000000 	        55.000000 	        53.000000 	        55.000000 	         2.000000 	         2.000000 	        10.000000 	         0.519861 	        11.000000 	         9.000000 	        44.000000 	         2.000000 	         1.000000 	         1.435260 	         1.000000 	         0.000000 	       973.000000 	        49.863203 	        52.139891 	     10405.649652 	       413.277874 	       415.490545 	       416.077046 	       416.690192 	       418.702941 	       420.195831 	         1.000000 	         2.200000 	         0.600000 	         2.000000 	  
         8.000000 	        56.000000 	        51.000000 	        48.000000 	         2.000000 	         2.000000 	        10.000000 	         0.908084 	        29.000000 	         2.000000 	        19.000000 	         7.000000 	         2.000000 	         0.845521 	         0.000000 	         1.000000 	       992.000000 	        49.882231 	        50.823187 	     10405.649652 	       421.408797 	       423.221604 	       424.194654 	       424.807794 	       426.620604 	       427.527000 	         1.200000 	         1.800000 	         0.600000 	         1.800000 	  
         8.000000 	        57.000000 	        52.000000 	        48.000000 	         2.000000 	         2.000000 	        10.000000 	         1.697231 	        19.000000 	         9.000000 	        29.000000 	         4.000000 	         1.000000 	         1.229074 	         1.000000 	         0.000000 	      1011.000000 	        50.736576 	        49.838923 	     10405.649652 	       428.739971 	       430.952648 	       432.712123 	       433.218646 	       435.324688 	       436.617638 	         1.200000 	         2.200000 	         0.500000 	         2.100000 	  
         8.000000 	        58.000000 	        58.000000 	        44.000000 	         1.000000 	         2.000000 	        10.000000 	         0.654116 	         4.000000 	         3.000000 	        40.000000 	         2.000000 	         2.000000 	         1.383506 	         0.000000 	         0.000000 	      1011.000000 	        53.923538 	        46.448403 	     10405.649652 	       437.630675 	       439.643420 	       440.363205 	       440.776410 	       442.882457 	       444.322027 	         1.000000 	         2.000000 	         0.400000 	         2.100000 	  
