C:\behvdata\clash\clashMEG	 June 11, 2014 14:00:02	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       22.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         2.932882 	        10.000000 	         1.000000 	        40.000000 	         6.000000 	         2.000000 	         1.507586 	         1.000000 	         1.000000 	        40.000000 	        50.000000 	        50.000000 	     19637.543679 	         0.000000 	         1.812801 	         4.811910 	         5.425072 	         7.437806 	         9.010669 	         1.200000 	         1.800000 	         0.600000 	         2.000000 	  
        22.000000 	         2.000000 	        51.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         0.871680 	         5.000000 	         6.000000 	        46.000000 	         3.000000 	         2.000000 	         2.750405 	         1.000000 	         0.000000 	        40.000000 	        49.222570 	        51.468296 	     19637.543679 	         9.917073 	        11.929816 	        12.862868 	        13.369394 	        15.275499 	        18.087997 	         0.900000 	         2.000000 	         0.500000 	         1.900000 	  
        22.000000 	         3.000000 	        52.000000 	        56.000000 	         1.000000 	         1.000000 	        15.000000 	         0.874833 	        21.000000 	         1.000000 	        31.000000 	         4.000000 	         2.000000 	         1.771823 	         0.000000 	         1.000000 	        71.000000 	        48.271149 	        52.882210 	     19637.543679 	        19.194332 	        21.407018 	        22.340073 	        22.953232 	        24.965968 	        26.792092 	         1.100000 	         2.200000 	         0.600000 	         2.000000 	  
        22.000000 	         4.000000 	        49.000000 	        55.000000 	         2.000000 	         1.000000 	        15.000000 	         0.871356 	        20.000000 	         1.000000 	        29.000000 	         9.000000 	         2.000000 	         1.146721 	         0.000000 	         1.000000 	       100.000000 	        45.810526 	        56.873515 	     19637.543679 	        27.605183 	        29.817864 	        30.750922 	        31.164142 	        33.270185 	        34.483155 	         0.800000 	         2.200000 	         0.400000 	         2.100000 	  
        22.000000 	         5.000000 	        45.000000 	        59.000000 	         2.000000 	         1.000000 	        15.000000 	         0.694987 	        27.000000 	         5.000000 	        18.000000 	         8.000000 	         1.000000 	         1.418306 	         0.000000 	         1.000000 	       100.000000 	        42.870707 	        59.456987 	     19637.543679 	        35.389555 	        37.202355 	        37.962127 	        38.468654 	        40.574694 	        42.054256 	         0.900000 	         1.800000 	         0.500000 	         2.100000 	  
        22.000000 	         6.000000 	        39.000000 	        64.000000 	         2.000000 	         1.000000 	        15.000000 	         0.704699 	        12.000000 	         2.000000 	        27.000000 	         5.000000 	         2.000000 	         1.350958 	         0.000000 	         1.000000 	       127.000000 	        42.197546 	        59.509244 	     19637.543679 	        43.267234 	        45.279973 	        46.039750 	        46.652897 	        48.865585 	        50.278496 	         1.200000 	         2.000000 	         0.600000 	         2.200000 	  
        22.000000 	         7.000000 	        37.000000 	        60.000000 	         2.000000 	         1.000000 	        15.000000 	         0.912721 	         7.000000 	         7.000000 	        30.000000 	         5.000000 	         2.000000 	         2.273395 	         1.000000 	         1.000000 	       157.000000 	        39.246676 	        61.326845 	     19637.543679 	        51.291528 	        53.504213 	        54.477260 	        55.090414 	        57.103157 	        59.435790 	         1.000000 	         2.200000 	         0.600000 	         2.000000 	  
        22.000000 	         8.000000 	        35.000000 	        63.000000 	         2.000000 	         1.000000 	        15.000000 	         0.540157 	         3.000000 	         5.000000 	        32.000000 	         1.000000 	         2.000000 	         6.994005 	         1.000000 	         0.000000 	       157.000000 	        37.322788 	        62.329557 	     19637.543679 	        60.648774 	        62.861201 	        63.461279 	        64.074428 	        66.087163 	        73.138417 	         1.200000 	         2.200000 	         0.600000 	         2.000000 	  
        22.000000 	         9.000000 	        30.000000 	        68.000000 	         2.000000 	         1.000000 	        15.000000 	         0.671239 	        24.000000 	         3.000000 	         6.000000 	         6.000000 	         2.000000 	         2.146709 	         1.000000 	         0.000000 	       157.000000 	        33.964532 	        64.433631 	     19637.543679 	        74.244756 	        76.057555 	        76.790669 	        77.403831 	        79.509868 	        81.722551 	         1.100000 	         1.800000 	         0.600000 	         2.100000 	  
        22.000000 	        10.000000 	        35.000000 	        67.000000 	         2.000000 	         1.000000 	        15.000000 	         0.558824 	        14.000000 	         7.000000 	        21.000000 	         1.000000 	         1.000000 	         1.079425 	         1.000000 	         0.000000 	       171.000000 	        30.778670 	        67.054389 	     19637.543679 	        82.628949 	        84.441744 	        85.054900 	        85.668052 	        87.880741 	        89.027059 	         0.900000 	         1.800000 	         0.600000 	         2.200000 	  
