C:\behvdata\clash\clashMEG	 May 21, 2014 13:30:40	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       15.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         1.319575 	        10.000000 	         7.000000 	        40.000000 	         6.000000 	         2.000000 	         2.035901 	         1.000000 	         1.000000 	        40.000000 	        50.000000 	        50.000000 	     18348.772467 	         0.000000 	         2.012749 	         3.385670 	         3.798893 	         5.705003 	         7.797725 	         1.200000 	         2.000000 	         0.400000 	         1.900000 	  
        15.000000 	         2.000000 	        52.000000 	        46.000000 	         2.000000 	         1.000000 	        10.000000 	         1.341387 	        42.000000 	         7.000000 	        10.000000 	         9.000000 	         1.000000 	         1.558206 	         1.000000 	         1.000000 	        82.000000 	        46.473164 	        50.763029 	     18348.772467 	         9.010708 	        11.023454 	        12.423042 	        12.929409 	        14.942305 	        16.555172 	         1.200000 	         2.000000 	         0.500000 	         2.000000 	  
        15.000000 	         3.000000 	        44.000000 	        53.000000 	         2.000000 	         1.000000 	        10.000000 	         1.058500 	         9.000000 	         2.000000 	        35.000000 	         1.000000 	         2.000000 	         1.640033 	         0.000000 	         0.000000 	        82.000000 	        45.495707 	        53.129020 	     18348.772467 	        17.461570 	        19.274371 	        20.394045 	        20.807255 	        23.019942 	        24.726104 	         0.900000 	         1.800000 	         0.400000 	         2.200000 	  
        15.000000 	         4.000000 	        35.000000 	        55.000000 	         1.000000 	         2.000000 	        10.000000 	         1.398580 	        22.000000 	         8.000000 	        33.000000 	         5.000000 	         1.000000 	         2.786971 	         1.000000 	         1.000000 	        94.000000 	        41.797567 	        56.111970 	     18348.772467 	        25.632518 	        27.645272 	        29.098168 	        29.511374 	        31.417494 	        34.269986 	         0.900000 	         2.000000 	         0.400000 	         1.900000 	  
        15.000000 	         5.000000 	        41.000000 	        61.000000 	         1.000000 	         2.000000 	        15.000000 	         1.132619 	        55.000000 	         5.000000 	         6.000000 	         8.000000 	         1.000000 	         1.546338 	         1.000000 	         0.000000 	       149.000000 	        44.767264 	        55.316244 	     18348.772467 	        35.283028 	        37.095826 	        38.282155 	        38.895308 	        41.001355 	        42.614214 	         1.000000 	         1.800000 	         0.600000 	         2.100000 	  
        15.000000 	         6.000000 	        50.000000 	        48.000000 	         2.000000 	         2.000000 	        15.000000 	         0.980255 	        10.000000 	         9.000000 	        38.000000 	         5.000000 	         1.000000 	         1.544270 	         1.000000 	         0.000000 	       159.000000 	        49.071386 	        53.212718 	     18348.772467 	        43.627254 	        45.640003 	        46.679697 	        47.186222 	        49.292275 	        50.891812 	         1.000000 	         2.000000 	         0.500000 	         2.100000 	  
        15.000000 	         7.000000 	        48.000000 	        54.000000 	         2.000000 	         2.000000 	        15.000000 	         0.758892 	        38.000000 	         7.000000 	        16.000000 	         5.000000 	         1.000000 	         1.012651 	         1.000000 	         1.000000 	       197.000000 	        51.443462 	        49.422465 	     18348.772467 	        51.704897 	        53.917587 	        54.730676 	        55.237199 	        57.143307 	        58.222998 	         0.800000 	         2.200000 	         0.500000 	         1.900000 	  
        15.000000 	         8.000000 	        55.000000 	        46.000000 	         1.000000 	         2.000000 	        15.000000 	         0.883073 	        28.000000 	         3.000000 	        18.000000 	         2.000000 	         1.000000 	         1.446806 	         0.000000 	         0.000000 	       197.000000 	        53.809940 	        47.207715 	     18348.772467 	        59.036094 	        60.848902 	        61.795288 	        62.208499 	        64.421181 	        65.927409 	         0.800000 	         1.800000 	         0.400000 	         2.200000 	  
        15.000000 	         9.000000 	        52.000000 	        49.000000 	         1.000000 	         2.000000 	        15.000000 	         0.805032 	        39.000000 	         2.000000 	        10.000000 	         1.000000 	         1.000000 	         0.760921 	         0.000000 	         0.000000 	       197.000000 	        53.837411 	        46.597570 	     18348.772467 	        66.833822 	        69.046495 	        69.912918 	        70.326134 	        72.538818 	        73.365244 	         0.900000 	         2.200000 	         0.400000 	         2.200000 	  
        15.000000 	        10.000000 	        54.000000 	        46.000000 	         1.000000 	         2.000000 	        15.000000 	         0.844925 	         5.000000 	         7.000000 	        41.000000 	         1.000000 	         1.000000 	         1.656779 	         1.000000 	         1.000000 	       202.000000 	        55.611156 	        45.825226 	     18348.772467 	        74.178331 	        75.991134 	        76.897554 	        77.510700 	        79.323494 	        81.042998 	         0.800000 	         1.800000 	         0.600000 	         1.800000 	  
        15.000000 	        11.000000 	        53.000000 	        46.000000 	         1.000000 	         1.000000 	        15.000000 	         1.383064 	        11.000000 	         4.000000 	        42.000000 	         2.000000 	         1.000000 	         1.645263 	         1.000000 	         1.000000 	       198.000000 	        56.079424 	        43.738067 	     18348.772467 	        82.056038 	        84.068732 	        85.508368 	        85.921574 	        88.134263 	        89.840436 	         1.000000 	         2.000000 	         0.400000 	         2.200000 	  
        15.000000 	        12.000000 	        51.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         0.793467 	        20.000000 	         9.000000 	        31.000000 	         7.000000 	         2.000000 	         1.580830 	         1.000000 	         1.000000 	       229.000000 	        52.962878 	        47.309500 	     18348.772467 	        90.853468 	        92.666146 	        93.519355 	        94.025875 	        96.038616 	        97.678145 	         1.000000 	         1.800000 	         0.500000 	         2.000000 	  
        15.000000 	        13.000000 	        46.000000 	        52.000000 	         1.000000 	         1.000000 	         5.000000 	         0.915493 	         5.000000 	         8.000000 	        41.000000 	         1.000000 	         1.000000 	         2.325203 	         1.000000 	         0.000000 	       234.000000 	        49.037198 	        49.773643 	     18348.772467 	        98.891124 	       100.703924 	       101.676977 	       102.090185 	       104.302874 	       106.688838 	         1.200000 	         1.800000 	         0.400000 	         2.200000 	  
        15.000000 	        14.000000 	        53.000000 	        56.000000 	         1.000000 	         1.000000 	         5.000000 	         0.595903 	         5.000000 	         9.000000 	        48.000000 	         4.000000 	         1.000000 	         1.671086 	         0.000000 	         0.000000 	       234.000000 	        47.940033 	        50.241028 	     18348.772467 	       107.795191 	       110.007876 	       110.661021 	       111.274170 	       113.380155 	       115.113053 	         1.100000 	         2.200000 	         0.600000 	         2.100000 	  
        15.000000 	        15.000000 	        46.000000 	        49.000000 	         1.000000 	         1.000000 	         5.000000 	         0.512621 	         9.000000 	         4.000000 	        37.000000 	         3.000000 	         1.000000 	         1.025573 	         1.000000 	         1.000000 	       243.000000 	        43.611853 	        52.316008 	     18348.772467 	       116.326031 	       118.538444 	       119.111882 	       119.525100 	       121.537844 	       122.617524 	         1.200000 	         2.200000 	         0.400000 	         2.000000 	  
        15.000000 	        16.000000 	        45.000000 	        50.000000 	         2.000000 	         1.000000 	         5.000000 	         1.056093 	        40.000000 	         9.000000 	         5.000000 	         1.000000 	         1.000000 	         1.811878 	         1.000000 	         0.000000 	       283.000000 	        45.018138 	        54.475465 	     18348.772467 	       123.430623 	       125.443371 	       126.562798 	       127.069558 	       129.175617 	       131.041726 	         0.800000 	         2.000000 	         0.500000 	         2.100000 	  
        15.000000 	        17.000000 	        41.000000 	        56.000000 	         1.000000 	         1.000000 	         5.000000 	         0.584160 	        37.000000 	         2.000000 	         4.000000 	         9.000000 	         2.000000 	         1.744846 	         0.000000 	         1.000000 	       287.000000 	        41.812507 	        55.190389 	     18348.772467 	       132.254706 	       134.067519 	       134.707324 	       135.213852 	       137.026644 	       138.826131 	         1.200000 	         1.800000 	         0.500000 	         1.800000 	  
        15.000000 	        18.000000 	        42.000000 	        56.000000 	         2.000000 	         1.000000 	         5.000000 	         0.682114 	         4.000000 	         1.000000 	        38.000000 	         6.000000 	         2.000000 	         0.784681 	         0.000000 	         1.000000 	       325.000000 	        39.607645 	        56.825469 	     18348.772467 	       139.732522 	       141.545330 	       142.291780 	       142.904927 	       144.811047 	       145.650802 	         0.900000 	         1.800000 	         0.600000 	         1.900000 	  
        15.000000 	        19.000000 	        42.000000 	        56.000000 	         1.000000 	         1.000000 	         5.000000 	         0.638936 	         4.000000 	         9.000000 	        38.000000 	         2.000000 	         1.000000 	         1.383166 	         1.000000 	         1.000000 	       329.000000 	        37.642631 	        57.245262 	     18348.772467 	       146.663841 	       148.476649 	       149.169767 	       149.782926 	       151.995610 	       153.435188 	         1.000000 	         1.800000 	         0.600000 	         2.200000 	  
        15.000000 	        20.000000 	        31.000000 	        59.000000 	         2.000000 	         1.000000 	         5.000000 	         0.705073 	         3.000000 	         1.000000 	        28.000000 	         8.000000 	         2.000000 	         1.143377 	         0.000000 	         1.000000 	       357.000000 	        35.500059 	        58.941729 	     18348.772467 	       154.541536 	       156.354345 	       157.114120 	       157.727277 	       159.740019 	       160.939667 	         1.100000 	         1.800000 	         0.600000 	         2.000000 	  
        15.000000 	        21.000000 	        31.000000 	        59.000000 	         1.000000 	         2.000000 	         5.000000 	         0.653918 	        18.000000 	         7.000000 	        41.000000 	         9.000000 	         2.000000 	         0.948239 	         1.000000 	         1.000000 	       393.000000 	        31.760892 	        60.511730 	     18348.772467 	       161.952701 	       163.965458 	       164.685244 	       165.098458 	       167.111200 	       168.124243 	         1.000000 	         2.000000 	         0.400000 	         2.000000 	  
        15.000000 	        22.000000 	        32.000000 	        58.000000 	         1.000000 	         2.000000 	         5.000000 	         0.709161 	         6.000000 	         7.000000 	        52.000000 	         1.000000 	         1.000000 	         1.278451 	         1.000000 	         1.000000 	       399.000000 	        34.476466 	        55.695732 	     18348.772467 	       168.937330 	       170.950086 	       171.723187 	       172.336345 	       174.548971 	       175.881885 	         0.800000 	         2.000000 	         0.600000 	         2.200000 	  
        15.000000 	        23.000000 	        35.000000 	        54.000000 	         2.000000 	         2.000000 	         5.000000 	         0.847638 	         5.000000 	         2.000000 	        49.000000 	         7.000000 	         2.000000 	         0.763264 	         1.000000 	         1.000000 	       448.000000 	        34.334798 	        53.969801 	     18348.772467 	       176.895011 	       179.107693 	       180.014091 	       180.627225 	       182.839946 	       183.666367 	         1.000000 	         2.200000 	         0.600000 	         2.200000 	  
        15.000000 	        24.000000 	        36.000000 	        54.000000 	         2.000000 	         2.000000 	         5.000000 	         0.657593 	        16.000000 	         3.000000 	        38.000000 	         7.000000 	         2.000000 	         0.791299 	         0.000000 	         1.000000 	       486.000000 	        36.557088 	        52.503516 	     18348.772467 	       184.772714 	       186.785448 	       187.505245 	       187.918449 	       189.931201 	       190.784290 	         1.100000 	         2.000000 	         0.400000 	         2.000000 	  
        15.000000 	        25.000000 	        40.000000 	        56.000000 	         1.000000 	         2.000000 	         5.000000 	         0.707094 	        17.000000 	         2.000000 	        39.000000 	         6.000000 	         2.000000 	         0.748121 	         0.000000 	         1.000000 	       525.000000 	        39.866924 	        49.357441 	     18348.772467 	       191.690691 	       193.703434 	       194.476544 	       194.889752 	       196.702559 	       197.515659 	         0.900000 	         2.000000 	         0.400000 	         1.800000 	  
        15.000000 	        26.000000 	        43.000000 	        48.000000 	         1.000000 	         2.000000 	         5.000000 	         0.559399 	         5.000000 	         2.000000 	        43.000000 	         1.000000 	         2.000000 	         1.365890 	         0.000000 	         0.000000 	       525.000000 	        42.350614 	        45.219847 	     18348.772467 	       198.422061 	       200.234859 	       200.848015 	       201.354541 	       203.460585 	       204.886837 	         0.900000 	         1.800000 	         0.500000 	         2.100000 	  
        15.000000 	        27.000000 	        37.000000 	        44.000000 	         1.000000 	         2.000000 	         5.000000 	         0.553706 	        13.000000 	         3.000000 	        31.000000 	         5.000000 	         2.000000 	         0.907037 	         0.000000 	         1.000000 	       556.000000 	        44.708763 	        43.861164 	     18348.772467 	       205.699927 	       207.512500 	       208.125893 	       208.739047 	       210.751792 	       211.724835 	         0.800000 	         1.800000 	         0.600000 	         2.000000 	  
        15.000000 	        28.000000 	        44.000000 	        40.000000 	         2.000000 	         2.000000 	         5.000000 	         0.678388 	         4.000000 	         7.000000 	        36.000000 	         6.000000 	         2.000000 	         1.042138 	         1.000000 	         1.000000 	       592.000000 	        44.351507 	        42.592289 	     18348.772467 	       212.631246 	       214.643991 	       215.376962 	       215.990259 	       217.896375 	       219.002712 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
        15.000000 	        29.000000 	        43.000000 	        45.000000 	         2.000000 	         2.000000 	         5.000000 	         0.565696 	         9.000000 	         2.000000 	        36.000000 	         8.000000 	         2.000000 	         0.708125 	         0.000000 	         0.000000 	       592.000000 	        46.767445 	        41.454900 	     18348.772467 	       220.015748 	       222.228443 	       222.854918 	       223.361439 	       225.574127 	       226.347243 	         1.000000 	         2.200000 	         0.500000 	         2.200000 	  
        15.000000 	        30.000000 	        52.000000 	        37.000000 	         2.000000 	         2.000000 	         5.000000 	         0.793645 	         4.000000 	         8.000000 	        33.000000 	         5.000000 	         2.000000 	         1.356506 	         1.000000 	         0.000000 	       592.000000 	        49.672298 	        37.567512 	     18348.772467 	       227.453583 	       233.465155 	       234.318240 	       234.931395 	       236.837506 	       238.250429 	         1.100000 	         6.000000 	         0.600000 	         1.900000 	  
        15.000000 	        31.000000 	        46.000000 	        33.000000 	         1.000000 	         2.000000 	         5.000000 	         0.672843 	        10.000000 	         6.000000 	        23.000000 	         1.000000 	         1.000000 	         1.220296 	         1.000000 	         0.000000 	       602.000000 	        51.758485 	        34.059856 	     18348.772467 	       239.356761 	       241.169571 	       241.902693 	       242.515841 	       244.421964 	       245.701588 	         1.100000 	         1.800000 	         0.600000 	         1.900000 	  
        15.000000 	        32.000000 	        51.000000 	        30.000000 	         1.000000 	         1.000000 	         5.000000 	         0.890821 	        15.000000 	         9.000000 	        36.000000 	         1.000000 	         1.000000 	         1.438774 	         0.000000 	         0.000000 	       597.000000 	        53.694721 	        31.638157 	     18348.772467 	       246.514686 	       248.327485 	       249.273871 	       249.687084 	       251.899771 	       253.392674 	         0.800000 	         1.800000 	         0.400000 	         2.200000 	  
        15.000000 	        33.000000 	        55.000000 	        33.000000 	         1.000000 	         1.000000 	        10.000000 	         0.754613 	         5.000000 	         8.000000 	        50.000000 	         7.000000 	         2.000000 	         1.560322 	         1.000000 	         1.000000 	       647.000000 	        52.680032 	        35.125270 	     18348.772467 	       254.499011 	       256.511764 	       257.324860 	       257.831377 	       259.937435 	       261.563620 	         1.100000 	         2.000000 	         0.500000 	         2.100000 	  
