C:\behvdata\clash\clashMEG	 June 11, 2014 09:48:05	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       25.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         3.179721 	        10.000000 	         6.000000 	        40.000000 	         1.000000 	         1.000000 	         1.459409 	         0.000000 	         0.000000 	         0.000000 	        50.000000 	        50.000000 	      4763.612158 	         0.000000 	         2.012743 	         5.251782 	         5.864929 	         7.877673 	         9.397229 	         1.000000 	         2.000000 	         0.600000 	         2.000000 	  
        25.000000 	         2.000000 	        43.000000 	        52.000000 	         1.000000 	         1.000000 	        10.000000 	         0.940174 	         4.000000 	         8.000000 	        39.000000 	         4.000000 	         1.000000 	         1.410842 	         0.000000 	         0.000000 	         0.000000 	        46.428557 	        53.597459 	      4763.612158 	        10.303625 	        12.116425 	        13.116129 	        13.729278 	        15.941958 	        17.408193 	         0.900000 	         1.800000 	         0.600000 	         2.200000 	  
        25.000000 	         3.000000 	        46.000000 	        57.000000 	         1.000000 	         2.000000 	        10.000000 	         0.990288 	        23.000000 	         3.000000 	        34.000000 	         8.000000 	         2.000000 	         1.407743 	         0.000000 	         0.000000 	       -10.000000 	        42.685996 	        57.203122 	      4763.612158 	        18.421235 	        20.234025 	        21.287052 	        21.900200 	        23.912951 	        25.379182 	         1.000000 	         1.800000 	         0.600000 	         2.000000 	  
        25.000000 	         4.000000 	        47.000000 	        54.000000 	         2.000000 	         2.000000 	        15.000000 	         3.142599 	        38.000000 	         6.000000 	        16.000000 	         9.000000 	         2.000000 	         1.420612 	         0.000000 	         1.000000 	         6.000000 	        46.082396 	        54.343343 	      4763.612158 	        26.485519 	        28.298323 	        31.497378 	        31.910582 	        34.123271 	        35.602830 	         1.100000 	         1.800000 	         0.400000 	         2.200000 	  
        25.000000 	         5.000000 	        43.000000 	        46.000000 	         2.000000 	         2.000000 	        15.000000 	         0.971750 	        18.000000 	         4.000000 	        28.000000 	         5.000000 	         2.000000 	         1.711066 	         0.000000 	         1.000000 	        34.000000 	        47.050462 	        49.656037 	      4763.612158 	        36.415924 	        38.428667 	        39.455030 	        40.068178 	        41.880980 	        43.653783 	         0.800000 	         2.000000 	         0.600000 	         1.800000 	  
        25.000000 	         6.000000 	        59.000000 	        51.000000 	         1.000000 	         2.000000 	        15.000000 	         1.136650 	         5.000000 	         2.000000 	        46.000000 	         7.000000 	         2.000000 	         0.905175 	         0.000000 	         1.000000 	        80.000000 	        49.961292 	        47.199038 	      4763.612158 	        44.866520 	        46.679558 	        47.879217 	        48.385723 	        50.198532 	        51.158242 	         1.200000 	         1.800000 	         0.500000 	         1.800000 	  
        25.000000 	         7.000000 	        54.000000 	        44.000000 	         2.000000 	         1.000000 	        15.000000 	         0.842912 	        11.000000 	         5.000000 	        43.000000 	         7.000000 	         2.000000 	         3.793413 	         0.000000 	         1.000000 	       108.000000 	        51.767838 	        45.014611 	      4763.612158 	        52.264585 	        54.277321 	        55.183723 	        55.796874 	        57.902919 	        61.755116 	         1.100000 	         2.000000 	         0.600000 	         2.100000 	  
        25.000000 	         8.000000 	        56.000000 	        46.000000 	         1.000000 	         1.000000 	        10.000000 	         1.610983 	        50.000000 	         4.000000 	         6.000000 	         8.000000 	         2.000000 	         1.401165 	         0.000000 	         1.000000 	       114.000000 	        49.346707 	        46.527898 	      4763.612158 	        62.968097 	        65.180771 	        66.846943 	        67.260153 	        69.166267 	        70.632496 	         1.200000 	         2.200000 	         0.400000 	         1.900000 	  
        25.000000 	         9.000000 	        47.000000 	        46.000000 	         1.000000 	         1.000000 	        10.000000 	         1.965836 	        33.000000 	         9.000000 	        14.000000 	         8.000000 	         1.000000 	         1.503203 	         1.000000 	         1.000000 	       147.000000 	        48.189204 	        48.722504 	      4763.612158 	        71.645538 	        73.458336 	        75.484397 	        75.990930 	        77.897023 	        79.456567 	         1.000000 	         1.800000 	         0.500000 	         1.900000 	  
        25.000000 	        10.000000 	        48.000000 	        50.000000 	         2.000000 	         1.000000 	        10.000000 	         0.869755 	        43.000000 	         1.000000 	         5.000000 	         8.000000 	         1.000000 	         1.278102 	         0.000000 	         1.000000 	       147.000000 	        46.761265 	        51.260195 	      4763.612158 	        80.469593 	        82.482343 	        83.415155 	        84.028545 	        86.041196 	        87.374227 	         1.000000 	         2.000000 	         0.600000 	         2.000000 	  
