C:\behvdata\clash\clashMEG	 August 06, 2014 09:15:23	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       34.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         3.042050 	        15.000000 	         4.000000 	        35.000000 	         5.000000 	         2.000000 	         1.286379 	         1.000000 	         1.000000 	        35.000000 	        50.000000 	        50.000000 	      2743.997350 	         0.000000 	         1.812812 	         4.918554 	         5.531704 	         7.744373 	         9.090657 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
        34.000000 	         2.000000 	        50.000000 	        52.000000 	         2.000000 	         1.000000 	        10.000000 	         1.525166 	        40.000000 	         4.000000 	        10.000000 	         6.000000 	         2.000000 	         1.916174 	         1.000000 	         1.000000 	        45.000000 	        50.712602 	        51.391212 	      2743.997350 	         9.997053 	        12.009786 	        13.595994 	        14.102506 	        15.915311 	        17.888060 	         0.900000 	         2.000000 	         0.500000 	         1.800000 	  
        34.000000 	         3.000000 	        48.000000 	        60.000000 	         2.000000 	         2.000000 	        10.000000 	         1.532876 	        18.000000 	         5.000000 	        42.000000 	         1.000000 	         1.000000 	         1.966522 	         0.000000 	         0.000000 	        35.000000 	        49.888983 	        52.809639 	      2743.997350 	        18.701149 	        20.913829 	        22.513363 	        22.926579 	        25.032622 	        27.058682 	         0.800000 	         2.200000 	         0.400000 	         2.100000 	  
        34.000000 	         4.000000 	        57.000000 	        53.000000 	         1.000000 	         2.000000 	        10.000000 	         1.853245 	        21.000000 	         9.000000 	        32.000000 	         3.000000 	         1.000000 	         1.390276 	         1.000000 	         1.000000 	        56.000000 	        52.712981 	        50.953563 	      2743.997350 	        28.165032 	        29.977821 	        31.897260 	        32.403776 	        34.216580 	        35.669477 	         1.100000 	         1.800000 	         0.500000 	         1.800000 	  
        34.000000 	         5.000000 	        54.000000 	        51.000000 	         1.000000 	         2.000000 	        10.000000 	         1.367413 	        10.000000 	         1.000000 	        41.000000 	         8.000000 	         2.000000 	         1.387330 	         0.000000 	         1.000000 	        97.000000 	        53.396662 	        48.903119 	      2743.997350 	        36.882455 	        39.095130 	        40.521387 	        40.934610 	        43.147279 	        44.600179 	         1.200000 	         2.200000 	         0.400000 	         2.200000 	  
        34.000000 	         6.000000 	        50.000000 	        41.000000 	         1.000000 	         2.000000 	        10.000000 	         2.933157 	        37.000000 	         5.000000 	         4.000000 	         4.000000 	         1.000000 	         1.431279 	         1.000000 	         0.000000 	       134.000000 	        54.648829 	        49.416194 	      2743.997350 	        45.813154 	        48.025840 	        51.024956 	        51.638099 	        53.543958 	        55.037107 	         1.200000 	         2.200000 	         0.600000 	         1.900000 	  
        34.000000 	         7.000000 	        56.000000 	        43.000000 	         1.000000 	         2.000000 	        10.000000 	         2.521900 	        30.000000 	         2.000000 	        13.000000 	         9.000000 	         2.000000 	         1.289410 	         0.000000 	         1.000000 	       147.000000 	        54.800560 	        47.318172 	      2743.997350 	        56.143433 	        58.156186 	        60.742085 	        61.355239 	        63.461276 	        64.807558 	         1.100000 	         2.000000 	         0.600000 	         2.100000 	  
        34.000000 	         8.000000 	        59.000000 	        42.000000 	         2.000000 	         1.000000 	        10.000000 	         2.023769 	         6.000000 	         3.000000 	        53.000000 	         4.000000 	         2.000000 	         1.233302 	         0.000000 	         0.000000 	       137.000000 	        55.164616 	        44.847587 	      2743.997350 	        65.713944 	        67.926627 	        70.006023 	        70.512537 	        72.525270 	        73.818228 	         0.900000 	         2.200000 	         0.500000 	         2.000000 	  
        34.000000 	         9.000000 	        54.000000 	        51.000000 	         1.000000 	         1.000000 	        10.000000 	         1.396618 	        43.000000 	         8.000000 	        11.000000 	         5.000000 	         1.000000 	         1.205767 	         1.000000 	         1.000000 	       180.000000 	        53.478917 	        47.649705 	      2743.997350 	        74.924564 	        76.737367 	        78.190270 	        78.803421 	        81.016100 	        82.282393 	         1.100000 	         1.800000 	         0.600000 	         2.200000 	  
        34.000000 	        10.000000 	        55.000000 	        50.000000 	         2.000000 	         1.000000 	        10.000000 	         1.236213 	        16.000000 	         1.000000 	        39.000000 	         2.000000 	         2.000000 	         1.362921 	         0.000000 	         0.000000 	       180.000000 	        51.861110 	        47.816754 	      2743.997350 	        83.388733 	        85.201537 	        86.494505 	        87.001008 	        89.107052 	        90.533298 	         1.100000 	         1.800000 	         0.500000 	         2.100000 	  
