C:\behvdata\clash\clashMEG	 August 06, 2014 14:28:54	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       36.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         1.000000 	        15.000000 	         1.781902 	        35.000000 	         5.000000 	        15.000000 	         7.000000 	         1.000000 	         1.366717 	         0.000000 	         1.000000 	         0.000000 	        50.000000 	        50.000000 	     21319.062055 	         0.000000 	         2.012732 	         3.852199 	         4.465342 	         6.571391 	         7.997636 	         1.100000 	         2.000000 	         0.600000 	         2.100000 	  
        36.000000 	         2.000000 	        44.000000 	        54.000000 	         1.000000 	         1.000000 	        15.000000 	         1.301720 	         9.000000 	         4.000000 	        35.000000 	         8.000000 	         2.000000 	         1.015103 	         1.000000 	         1.000000 	        35.000000 	        48.962510 	        52.410537 	     21319.062055 	         8.904037 	        10.916779 	        12.276379 	        12.782888 	        14.795630 	        15.875311 	         0.900000 	         2.000000 	         0.500000 	         2.000000 	  
        36.000000 	         3.000000 	        53.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         0.855875 	        16.000000 	         1.000000 	        37.000000 	         9.000000 	         2.000000 	         1.214172 	         0.000000 	         1.000000 	        72.000000 	        47.771469 	        55.601775 	     21319.062055 	        16.981650 	        19.194335 	        20.114060 	        20.527270 	        22.739948 	        24.019580 	         1.100000 	         2.200000 	         0.400000 	         2.200000 	  
        36.000000 	         4.000000 	        49.000000 	        59.000000 	         2.000000 	         1.000000 	        15.000000 	         1.231277 	        20.000000 	         7.000000 	        29.000000 	         6.000000 	         2.000000 	         1.915483 	         1.000000 	         0.000000 	        72.000000 	        46.202748 	        57.651260 	     21319.062055 	        24.925969 	        27.138658 	        28.431601 	        28.938118 	        31.150799 	        33.123559 	         0.900000 	         2.200000 	         0.500000 	         2.200000 	  
        36.000000 	         5.000000 	        37.000000 	        61.000000 	         1.000000 	         1.000000 	        15.000000 	         0.780277 	        22.000000 	         1.000000 	        15.000000 	         8.000000 	         2.000000 	         3.306563 	         0.000000 	         1.000000 	        87.000000 	        42.617143 	        60.457976 	     21319.062055 	        34.136586 	        35.949381 	        36.789143 	        37.402298 	        39.415026 	        42.787375 	         1.000000 	         1.800000 	         0.600000 	         2.000000 	  
        36.000000 	         6.000000 	        46.000000 	        57.000000 	         2.000000 	         1.000000 	        15.000000 	         1.676904 	        18.000000 	         9.000000 	        28.000000 	         4.000000 	         1.000000 	         1.872728 	         1.000000 	         1.000000 	       105.000000 	        40.073391 	        61.990832 	     21319.062055 	        43.800406 	        45.813147 	        47.545963 	        48.159117 	        50.265163 	        52.197919 	         1.000000 	         2.000000 	         0.600000 	         2.100000 	  
        36.000000 	         7.000000 	        37.000000 	        65.000000 	         1.000000 	         1.000000 	        15.000000 	         1.954203 	         7.000000 	         6.000000 	        30.000000 	         5.000000 	         2.000000 	         2.169257 	         0.000000 	         1.000000 	       135.000000 	        37.275716 	        62.866236 	     21319.062055 	        53.210966 	        55.423645 	        57.436385 	        57.942892 	        59.848995 	        62.075010 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
        36.000000 	         8.000000 	        34.000000 	        66.000000 	         2.000000 	         1.000000 	        15.000000 	         1.775535 	         7.000000 	         4.000000 	        27.000000 	         1.000000 	         2.000000 	         4.016907 	         0.000000 	         0.000000 	       135.000000 	        35.891019 	        64.471297 	     21319.062055 	        62.981410 	        64.794206 	        66.633667 	        67.046881 	        68.952978 	        73.031775 	         0.900000 	         1.800000 	         0.400000 	         1.900000 	  
        36.000000 	         9.000000 	        32.000000 	        64.000000 	         1.000000 	         1.000000 	        15.000000 	         1.835014 	        22.000000 	         3.000000 	        10.000000 	         6.000000 	         1.000000 	         1.643934 	         0.000000 	         0.000000 	       135.000000 	        34.511194 	        66.157188 	     21319.062055 	        74.138117 	        76.150868 	        78.043632 	        78.456837 	        80.469585 	        82.175737 	         1.100000 	         2.000000 	         0.400000 	         2.000000 	  
        36.000000 	        10.000000 	        36.000000 	        69.000000 	         2.000000 	         1.000000 	        15.000000 	         2.474275 	        14.000000 	         2.000000 	        22.000000 	         9.000000 	         2.000000 	         1.503412 	         0.000000 	         1.000000 	       157.000000 	        33.935586 	        68.944616 	     21319.062055 	        83.282089 	        85.494770 	        88.027240 	        88.440569 	        90.546609 	        92.106142 	         1.100000 	         2.200000 	         0.400000 	         2.100000 	  
        36.000000 	        11.000000 	        29.000000 	        70.000000 	         2.000000 	         2.000000 	        15.000000 	         0.933916 	        49.000000 	         2.000000 	        21.000000 	         3.000000 	         1.000000 	         1.804060 	         0.000000 	         0.000000 	       142.000000 	        33.084249 	        70.828672 	     21319.062055 	        93.319121 	        95.131916 	        96.131631 	        96.544842 	        98.557583 	       100.423687 	         1.200000 	         1.800000 	         0.400000 	         2.000000 	  
