C:\behvdata\clash\clashMEG	 August 06, 2014 12:54:03	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       35.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         1.103107 	        30.000000 	         2.000000 	        20.000000 	         3.000000 	         2.000000 	         1.933141 	         1.000000 	         0.000000 	         0.000000 	        50.000000 	        50.000000 	     16001.578459 	         0.000000 	         2.012746 	         3.172402 	         3.585615 	         5.398422 	         7.397811 	         1.200000 	         2.000000 	         0.400000 	         1.800000 	  
        35.000000 	         2.000000 	        48.000000 	        49.000000 	         1.000000 	         1.000000 	        10.000000 	         1.571847 	        29.000000 	         6.000000 	        19.000000 	         1.000000 	         1.000000 	         1.267189 	         0.000000 	         0.000000 	         0.000000 	        46.257768 	        51.916045 	     16001.578459 	         8.410847 	        10.623531 	        12.249723 	        12.662934 	        14.568771 	        15.901973 	         1.000000 	         2.200000 	         0.400000 	         1.900000 	  
        35.000000 	         3.000000 	        46.000000 	        50.000000 	         1.000000 	         1.000000 	        10.000000 	         0.703007 	        14.000000 	         4.000000 	        32.000000 	         3.000000 	         2.000000 	         2.133134 	         1.000000 	         1.000000 	        32.000000 	        45.385272 	        53.276148 	     16001.578459 	        16.808367 	        18.621174 	        19.380952 	        19.994103 	        22.006841 	        24.206189 	         0.900000 	         1.800000 	         0.600000 	         2.000000 	  
        35.000000 	         4.000000 	        38.000000 	        53.000000 	         1.000000 	         1.000000 	        10.000000 	         0.814072 	        27.000000 	         4.000000 	        11.000000 	         7.000000 	         1.000000 	         2.132175 	         1.000000 	         1.000000 	        59.000000 	        42.042350 	        55.972711 	     16001.578459 	        25.112583 	        27.125328 	        28.005076 	        28.618220 	        30.431013 	        32.630372 	         0.900000 	         2.000000 	         0.600000 	         1.800000 	  
        35.000000 	         5.000000 	        42.000000 	        59.000000 	         1.000000 	         2.000000 	        10.000000 	         0.989777 	        47.000000 	         2.000000 	        12.000000 	         3.000000 	         1.000000 	         1.573413 	         0.000000 	         0.000000 	        49.000000 	        40.189883 	        57.298751 	     16001.578459 	        33.736704 	        35.949397 	        37.002408 	        37.508935 	        39.415039 	        41.054547 	         1.100000 	         2.200000 	         0.500000 	         1.900000 	  
        35.000000 	         6.000000 	        45.000000 	        61.000000 	         1.000000 	         2.000000 	        15.000000 	         1.115191 	        24.000000 	         7.000000 	        37.000000 	         4.000000 	         1.000000 	         2.430726 	         1.000000 	         1.000000 	        73.000000 	        40.016198 	        56.275864 	     16001.578459 	        42.067579 	        43.880376 	        45.053363 	        45.466582 	        47.372686 	        49.865290 	         1.000000 	         1.800000 	         0.400000 	         1.900000 	  
        35.000000 	         7.000000 	        37.000000 	        58.000000 	         1.000000 	         2.000000 	        15.000000 	         0.944437 	        52.000000 	         5.000000 	         6.000000 	         8.000000 	         1.000000 	         1.368897 	         1.000000 	         0.000000 	       125.000000 	        41.099786 	        56.180826 	     16001.578459 	        50.878313 	        52.691120 	        53.690824 	        54.303967 	        56.410024 	        57.836259 	         1.000000 	         1.800000 	         0.600000 	         2.100000 	  
        35.000000 	         8.000000 	        47.000000 	        49.000000 	         2.000000 	         2.000000 	        15.000000 	         2.060909 	        10.000000 	         9.000000 	        39.000000 	         5.000000 	         2.000000 	         2.008806 	         1.000000 	         0.000000 	       125.000000 	        45.550607 	        54.042716 	     16001.578459 	        58.849295 	        60.862039 	        62.981405 	        63.487930 	        65.593979 	        67.660040 	         1.000000 	         2.000000 	         0.500000 	         2.100000 	  
        35.000000 	         9.000000 	        45.000000 	        55.000000 	         2.000000 	         2.000000 	        15.000000 	         1.061495 	        38.000000 	         7.000000 	        17.000000 	         5.000000 	         1.000000 	         1.096520 	         1.000000 	         1.000000 	       163.000000 	        48.063514 	        50.219263 	     16001.578459 	        68.472967 	        70.685809 	        71.805471 	        72.311993 	        74.218104 	        75.377753 	         0.800000 	         2.200000 	         0.500000 	         1.900000 	  
        35.000000 	        10.000000 	        52.000000 	        46.000000 	         1.000000 	         2.000000 	        15.000000 	         1.511843 	        28.000000 	         3.000000 	        18.000000 	         2.000000 	         1.000000 	         1.480852 	         0.000000 	         0.000000 	       163.000000 	        50.565190 	        47.972641 	     16001.578459 	        76.190854 	        78.003398 	        79.576514 	        79.989724 	        82.202403 	        83.748610 	         0.800000 	         1.800000 	         0.400000 	         2.200000 	  
        35.000000 	        11.000000 	        49.000000 	        50.000000 	         1.000000 	         2.000000 	        15.000000 	         0.975249 	        40.000000 	         2.000000 	        10.000000 	         1.000000 	         1.000000 	         1.381175 	         0.000000 	         0.000000 	       163.000000 	        50.722451 	        47.331899 	     16001.578459 	        84.655017 	        86.867702 	        87.907391 	        88.320597 	        90.533278 	        91.972863 	         0.900000 	         2.200000 	         0.400000 	         2.200000 	  
        35.000000 	        12.000000 	        51.000000 	        47.000000 	         1.000000 	         2.000000 	        15.000000 	         1.268267 	         5.000000 	         7.000000 	        42.000000 	         1.000000 	         1.000000 	         2.549239 	         1.000000 	         1.000000 	       168.000000 	        52.620794 	        46.530181 	     16001.578459 	        92.785953 	        94.598743 	        95.931686 	        96.544797 	        98.357637 	       100.970201 	         0.800000 	         1.800000 	         0.600000 	         1.800000 	  
        35.000000 	        13.000000 	        50.000000 	        46.000000 	         1.000000 	         2.000000 	        15.000000 	         1.686918 	        18.000000 	         8.000000 	        28.000000 	         6.000000 	         1.000000 	         2.618664 	         0.000000 	         0.000000 	       168.000000 	        53.208677 	        44.414825 	     16001.578459 	       101.983229 	       103.995980 	       105.742123 	       106.155341 	       108.168082 	       110.847280 	         1.000000 	         2.000000 	         0.400000 	         2.000000 	  
        35.000000 	        14.000000 	        61.000000 	        40.000000 	         1.000000 	         2.000000 	        15.000000 	         1.283884 	        16.000000 	         8.000000 	        24.000000 	         2.000000 	         1.000000 	         1.688334 	         1.000000 	         0.000000 	       184.000000 	        56.319912 	        39.949384 	     16001.578459 	       111.953632 	       113.766428 	       115.112690 	       115.525901 	       117.538640 	       119.284802 	         1.100000 	         1.800000 	         0.400000 	         2.000000 	  
        35.000000 	        15.000000 	        58.000000 	        34.000000 	         1.000000 	         1.000000 	        15.000000 	         1.731545 	         6.000000 	         8.000000 	        52.000000 	         1.000000 	         2.000000 	         2.855645 	         1.000000 	         0.000000 	       169.000000 	        60.029145 	        39.500790 	     16001.578459 	       120.297827 	       122.510507 	       124.296649 	       124.709856 	       126.922536 	       129.841687 	         1.000000 	         2.200000 	         0.400000 	         2.200000 	  
