C:\behvdata\clash\clashMEG	 May 21, 2014 11:28:37	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       14.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	        15.000000 	         3.463963 	        20.000000 	         8.000000 	        30.000000 	         5.000000 	         1.000000 	         3.575492 	         1.000000 	         0.000000 	        20.000000 	        50.000000 	        50.000000 	     11031.083339 	         0.000000 	         2.012752 	         5.531726 	         5.944931 	         7.957680 	        11.596610 	         1.200000 	         2.000000 	         0.400000 	         2.000000 	  
        14.000000 	         2.000000 	        48.000000 	        51.000000 	         2.000000 	         1.000000 	        15.000000 	         1.134644 	        34.000000 	         4.000000 	        14.000000 	         1.000000 	         1.000000 	         1.237071 	         1.000000 	         0.000000 	        54.000000 	        48.934997 	        52.331927 	     11031.083339 	        12.809598 	        14.822341 	        16.021983 	        16.435201 	        18.647887 	        19.940846 	         1.200000 	         2.000000 	         0.400000 	         2.200000 	  
        14.000000 	         3.000000 	        42.000000 	        54.000000 	         2.000000 	         1.000000 	        15.000000 	         1.149600 	        34.000000 	         6.000000 	         8.000000 	         7.000000 	         1.000000 	         1.244645 	         0.000000 	         1.000000 	        54.000000 	        46.040209 	        54.258971 	     11031.083339 	        21.153830 	        22.966632 	        24.179518 	        24.686122 	        26.592230 	        27.898524 	         1.200000 	         1.800000 	         0.500000 	         1.900000 	  
        14.000000 	         4.000000 	        43.000000 	        55.000000 	         2.000000 	         1.000000 	        15.000000 	         0.768834 	         9.000000 	         2.000000 	        34.000000 	         5.000000 	         2.000000 	         1.232764 	         1.000000 	         0.000000 	        54.000000 	        45.417969 	        55.767044 	     11031.083339 	        29.111497 	        30.924299 	        31.750724 	        32.257253 	        34.163359 	        35.456318 	         1.200000 	         1.800000 	         0.500000 	         1.900000 	  
        14.000000 	         5.000000 	        53.000000 	        60.000000 	         1.000000 	         1.000000 	        15.000000 	         0.834538 	         5.000000 	         6.000000 	        48.000000 	         2.000000 	         2.000000 	         1.797748 	         0.000000 	         0.000000 	        54.000000 	        44.209688 	        57.304879 	     11031.083339 	        36.469347 	        38.482090 	        39.375174 	        39.988327 	        41.894436 	        43.747229 	         1.000000 	         2.000000 	         0.600000 	         1.900000 	  
        14.000000 	         6.000000 	        45.000000 	        57.000000 	         2.000000 	         1.000000 	        15.000000 	         0.833645 	        31.000000 	         8.000000 	        14.000000 	         1.000000 	         1.000000 	         0.952298 	         1.000000 	         0.000000 	        85.000000 	        41.043249 	        56.904211 	     11031.083339 	        44.653631 	        46.866310 	        47.759391 	        48.265909 	        50.172018 	        51.185053 	         0.900000 	         2.200000 	         0.500000 	         1.900000 	  
        14.000000 	         7.000000 	        36.000000 	        61.000000 	         2.000000 	         1.000000 	        15.000000 	         0.916635 	        22.000000 	         5.000000 	        14.000000 	         7.000000 	         1.000000 	         1.197520 	         1.000000 	         1.000000 	       107.000000 	        39.471464 	        57.625488 	     11031.083339 	        52.291401 	        54.304149 	        55.277194 	        55.690400 	        57.503208 	        58.756171 	         1.100000 	         2.000000 	         0.400000 	         1.800000 	  
        14.000000 	         8.000000 	        40.000000 	        58.000000 	         1.000000 	         2.000000 	        15.000000 	         1.214661 	        12.000000 	         6.000000 	        46.000000 	         8.000000 	         2.000000 	         1.228779 	         1.000000 	         1.000000 	       138.000000 	        38.893454 	        60.865560 	     11031.083339 	        59.569273 	        61.382075 	        62.661697 	        63.074921 	        65.087658 	        66.380620 	         0.800000 	         1.800000 	         0.400000 	         2.000000 	  
        14.000000 	         9.000000 	        41.000000 	        56.000000 	         2.000000 	         2.000000 	        20.000000 	         0.856027 	        17.000000 	         6.000000 	        39.000000 	         3.000000 	         1.000000 	         2.345694 	         0.000000 	         0.000000 	       138.000000 	        41.170453 	        58.264778 	     11031.083339 	        67.287015 	        69.299772 	        70.219496 	        70.726008 	        72.738766 	        75.151391 	         0.900000 	         2.000000 	         0.500000 	         2.000000 	  
        14.000000 	        10.000000 	        40.000000 	        64.000000 	         1.000000 	         2.000000 	        20.000000 	         0.923386 	        38.000000 	         5.000000 	        26.000000 	         7.000000 	         2.000000 	         6.215203 	         1.000000 	         1.000000 	       164.000000 	        43.606387 	        58.571308 	     11031.083339 	        76.364370 	        78.377109 	        79.363493 	        79.776713 	        81.989396 	        88.267506 	         1.200000 	         2.000000 	         0.400000 	         2.200000 	  
