C:\behvdata\clash\clashMEG	 June 18, 2014 13:27:41	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
       27.000000 	         1.000000 	        50.000000 	        50.000000 	         2.000000 	         2.000000 	        10.000000 	         3.099826 	        40.000000 	         5.000000 	        10.000000 	         8.000000 	         1.000000 	         2.170650 	         1.000000 	         1.000000 	        30.000000 	        50.000000 	        50.000000 	     16775.010160 	         0.000000 	         1.812700 	         4.971901 	         5.585066 	         7.597818 	         9.823855 	         1.200000 	         1.800000 	         0.600000 	         2.000000 	  
        27.000000 	         2.000000 	        56.000000 	        51.000000 	         1.000000 	         2.000000 	         5.000000 	         0.761048 	        20.000000 	         3.000000 	        31.000000 	         1.000000 	         1.000000 	         1.925331 	         1.000000 	         0.000000 	        50.000000 	        51.943410 	        47.805816 	     16775.010160 	        10.930213 	        12.743024 	        13.569462 	        14.182619 	        16.195375 	        18.181477 	         1.100000 	         1.800000 	         0.600000 	         2.000000 	  
        27.000000 	         3.000000 	        56.000000 	        38.000000 	         2.000000 	         2.000000 	         5.000000 	         0.915803 	        30.000000 	         6.000000 	         8.000000 	         3.000000 	         1.000000 	         0.943770 	         0.000000 	         1.000000 	        50.000000 	        54.821907 	        45.531821 	     16775.010160 	        19.087879 	        21.300582 	        22.273632 	        22.780165 	        24.792923 	        25.792669 	         0.900000 	         2.200000 	         0.500000 	         2.000000 	  
        27.000000 	         4.000000 	        55.000000 	        41.000000 	         2.000000 	         2.000000 	         5.000000 	         1.357919 	         4.000000 	         5.000000 	        37.000000 	         7.000000 	         2.000000 	         1.010258 	         0.000000 	         1.000000 	        87.000000 	        56.034587 	        42.608093 	     16775.010160 	        26.805683 	        29.018378 	        30.431309 	        30.844525 	        32.750650 	        33.817016 	         1.000000 	         2.200000 	         0.400000 	         1.900000 	  
        27.000000 	         5.000000 	        54.000000 	        44.000000 	         2.000000 	         1.000000 	         5.000000 	         1.565971 	        22.000000 	         6.000000 	        32.000000 	         3.000000 	         1.000000 	         1.906056 	         1.000000 	         0.000000 	       104.000000 	        59.180814 	        40.624113 	     16775.010160 	        34.830058 	        36.842823 	        38.469023 	        39.082171 	        40.894822 	        42.867758 	         1.000000 	         2.000000 	         0.600000 	         1.800000 	  
        27.000000 	         6.000000 	        59.000000 	        42.000000 	         2.000000 	         1.000000 	         5.000000 	         1.403204 	         6.000000 	         5.000000 	        53.000000 	         3.000000 	         2.000000 	         2.233353 	         0.000000 	         0.000000 	       104.000000 	        57.981381 	        41.957775 	     16775.010160 	        44.080748 	        46.293454 	        47.759704 	        48.266067 	        50.278977 	        52.571654 	         1.200000 	         2.200000 	         0.500000 	         2.000000 	  
        27.000000 	         7.000000 	        56.000000 	        41.000000 	         1.000000 	         1.000000 	         5.000000 	         0.931320 	         6.000000 	         2.000000 	        50.000000 	         9.000000 	         2.000000 	         0.982439 	         0.000000 	         1.000000 	       154.000000 	        54.832236 	        45.274643 	     16775.010160 	        53.784649 	        55.597465 	        56.583646 	        57.197006 	        59.409712 	        60.449406 	         1.200000 	         1.800000 	         0.600000 	         2.200000 	  
        27.000000 	         8.000000 	        50.000000 	        51.000000 	         2.000000 	         1.000000 	         5.000000 	         0.885067 	        45.000000 	         3.000000 	         5.000000 	         5.000000 	         1.000000 	         1.275533 	         0.000000 	         1.000000 	       154.000000 	        55.266638 	        48.092024 	     16775.010160 	        61.262506 	        63.075336 	        64.021719 	        64.528085 	        66.740949 	        68.073907 	         0.800000 	         1.800000 	         0.500000 	         2.200000 	  
        27.000000 	         9.000000 	        49.000000 	        58.000000 	         1.000000 	         1.000000 	         5.000000 	         0.956310 	         5.000000 	         8.000000 	        44.000000 	         6.000000 	         2.000000 	         1.418675 	         1.000000 	         0.000000 	       154.000000 	        51.884570 	        50.863362 	     16775.010160 	        68.887007 	        70.699820 	        71.712870 	        72.219386 	        74.325458 	        75.805026 	         0.800000 	         1.800000 	         0.500000 	         2.100000 	  
        27.000000 	        10.000000 	        47.000000 	        46.000000 	         2.000000 	         1.000000 	         5.000000 	         0.643849 	        42.000000 	         5.000000 	         5.000000 	         6.000000 	         1.000000 	         1.074553 	         0.000000 	         1.000000 	       154.000000 	        49.998378 	        51.151232 	     16775.010160 	        76.711438 	        78.924140 	        79.630606 	        80.043820 	        82.149889 	        83.282894 	         0.900000 	         2.200000 	         0.400000 	         2.100000 	  
