C:\Behvdata\clash\clashMEG	 April 15, 2014 15:43:37	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        4.000000 	         1.000000 	        50.000000 	        50.000000 	         1.000000 	         1.000000 	         5.000000 	         0.923098 	        35.000000 	         4.000000 	        15.000000 	         6.000000 	         1.000000 	         1.257292 	         0.000000 	         1.000000 	         0.000000 	        50.000000 	        50.000000 	     25994.548638 	         0.000000 	         2.012756 	         2.999119 	         3.505668 	         5.318490 	         6.638100 	         1.200000 	         2.000000 	         0.500000 	         1.800000 	  
         4.000000 	         2.000000 	        43.000000 	        58.000000 	         1.000000 	         1.000000 	         5.000000 	         0.519852 	         9.000000 	         7.000000 	        34.000000 	         2.000000 	         2.000000 	         1.130864 	         1.000000 	         1.000000 	        34.000000 	        47.991175 	        53.634124 	     25994.548638 	         7.451201 	         9.463957 	        10.037119 	        10.450338 	        12.556403 	        13.742732 	         0.800000 	         2.000000 	         0.400000 	         2.100000 	  
         4.000000 	         3.000000 	        48.000000 	        60.000000 	         1.000000 	         1.000000 	         5.000000 	         0.623250 	        10.000000 	         6.000000 	        38.000000 	         5.000000 	         2.000000 	         0.914406 	         0.000000 	         1.000000 	        72.000000 	        45.466566 	        56.676715 	     25994.548638 	        14.755770 	        16.968478 	        17.648282 	        18.154798 	        20.060924 	        21.033970 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
         4.000000 	         4.000000 	        42.000000 	        60.000000 	         2.000000 	         1.000000 	         5.000000 	         0.878873 	         8.000000 	         4.000000 	        34.000000 	         1.000000 	         2.000000 	         1.154593 	         0.000000 	         0.000000 	        72.000000 	        43.754234 	        58.529357 	     25994.548638 	        21.940385 	        23.753203 	        24.686259 	        25.099476 	        27.005598 	        28.218587 	         0.900000 	         1.800000 	         0.400000 	         1.900000 	  
         4.000000 	         5.000000 	        40.000000 	        58.000000 	         1.000000 	         1.000000 	         5.000000 	         0.566203 	        28.000000 	         3.000000 	        12.000000 	         6.000000 	         1.000000 	         1.289196 	         0.000000 	         0.000000 	        72.000000 	        42.059881 	        60.452925 	     25994.548638 	        29.324936 	        31.337700 	        31.964187 	        32.377402 	        34.390148 	        35.736439 	         1.100000 	         2.000000 	         0.400000 	         2.000000 	  
         4.000000 	         6.000000 	        43.000000 	        64.000000 	         2.000000 	         1.000000 	         5.000000 	         0.663975 	        17.000000 	         2.000000 	        26.000000 	         9.000000 	         2.000000 	         1.081597 	         0.000000 	         1.000000 	        98.000000 	        41.182326 	        63.468524 	     25994.548638 	        36.842786 	        39.055485 	        39.775276 	        40.188499 	        42.294563 	        43.440895 	         1.100000 	         2.200000 	         0.400000 	         2.100000 	  
         4.000000 	         7.000000 	        36.000000 	        65.000000 	         2.000000 	         1.000000 	         5.000000 	         1.173180 	         7.000000 	         6.000000 	        29.000000 	         7.000000 	         2.000000 	         1.094273 	         1.000000 	         1.000000 	       127.000000 	        40.041119 	        65.571624 	     25994.548638 	        44.653882 	        46.466704 	        47.706345 	        48.212867 	        50.025683 	        51.185350 	         1.200000 	         1.800000 	         0.500000 	         1.800000 	  
         4.000000 	         8.000000 	        37.000000 	        70.000000 	         2.000000 	         2.000000 	         5.000000 	         0.748953 	         7.000000 	         9.000000 	        63.000000 	         3.000000 	         2.000000 	         1.584178 	         1.000000 	         1.000000 	       185.000000 	        37.860384 	        66.898359 	     25994.548638 	        52.198383 	        54.011203 	        54.824058 	        55.330826 	        57.343575 	        58.983111 	         1.000000 	         1.800000 	         0.500000 	         2.000000 	  
         4.000000 	         9.000000 	        38.000000 	        59.000000 	         2.000000 	         2.000000 	        15.000000 	         0.809144 	        24.000000 	         6.000000 	        35.000000 	         2.000000 	         1.000000 	         1.437566 	         1.000000 	         0.000000 	       209.000000 	        40.976134 	        63.362384 	     25994.548638 	        60.089464 	        62.302167 	        63.168583 	        63.781733 	        65.994444 	        67.487347 	         1.100000 	         2.200000 	         0.600000 	         2.200000 	  
         4.000000 	        10.000000 	        43.000000 	        59.000000 	         1.000000 	         2.000000 	        15.000000 	         0.857298 	        35.000000 	         4.000000 	        24.000000 	         1.000000 	         1.000000 	         1.562093 	         1.000000 	         0.000000 	       244.000000 	        43.924993 	        58.735628 	     25994.548638 	        68.393752 	        70.406513 	        71.326243 	        71.832769 	        74.045468 	        75.671672 	         0.900000 	         2.000000 	         0.500000 	         2.200000 	  
         4.000000 	        11.000000 	        45.000000 	        57.000000 	         2.000000 	         2.000000 	        15.000000 	         0.893970 	         6.000000 	         3.000000 	        51.000000 	         1.000000 	         2.000000 	         1.111386 	         1.000000 	         0.000000 	       244.000000 	        47.775108 	        55.742018 	     25994.548638 	        76.484769 	        78.297588 	        79.257303 	        79.870464 	        81.776585 	        82.949590 	         0.800000 	         1.800000 	         0.600000 	         1.900000 	  
         4.000000 	        12.000000 	        49.000000 	        58.000000 	         1.000000 	         2.000000 	        15.000000 	         0.627029 	        12.000000 	         5.000000 	        46.000000 	         2.000000 	         2.000000 	         1.340112 	         0.000000 	         0.000000 	       244.000000 	        48.595959 	        53.320892 	     25994.548638 	        84.055930 	        86.068695 	        86.761821 	        87.175039 	        89.387736 	        90.787338 	         1.100000 	         2.000000 	         0.400000 	         2.200000 	  
         4.000000 	        13.000000 	        55.000000 	        46.000000 	         2.000000 	         2.000000 	        15.000000 	         0.618221 	        28.000000 	         1.000000 	        18.000000 	         6.000000 	         2.000000 	         1.568000 	         0.000000 	         1.000000 	       262.000000 	        50.883389 	        50.405677 	     25994.548638 	        91.600437 	        93.413260 	        94.093060 	        94.706217 	        96.718981 	        98.345182 	         0.800000 	         1.800000 	         0.600000 	         2.000000 	  
         4.000000 	        14.000000 	        59.000000 	        48.000000 	         1.000000 	         2.000000 	        15.000000 	         0.564232 	        19.000000 	         3.000000 	        29.000000 	         5.000000 	         2.000000 	         0.946842 	         1.000000 	         1.000000 	       291.000000 	        54.767157 	        48.157184 	     25994.548638 	        99.358221 	       101.570922 	       102.197411 	       102.810572 	       104.916635 	       105.929678 	         1.000000 	         2.200000 	         0.600000 	         2.100000 	  
         4.000000 	        15.000000 	        54.000000 	        48.000000 	         1.000000 	         2.000000 	        15.000000 	         0.484278 	        43.000000 	         6.000000 	         5.000000 	         9.000000 	         1.000000 	         0.895388 	         1.000000 	         1.000000 	       334.000000 	        56.824662 	        47.534544 	     25994.548638 	       106.742782 	       108.555588 	       109.102104 	       109.715253 	       111.927957 	       112.887687 	         0.800000 	         1.800000 	         0.600000 	         2.200000 	  
         4.000000 	        16.000000 	        59.000000 	        45.000000 	         2.000000 	         2.000000 	        15.000000 	         0.544978 	        36.000000 	         7.000000 	         9.000000 	         9.000000 	         1.000000 	         1.129485 	         1.000000 	         1.000000 	       370.000000 	        59.105668 	        46.611886 	     25994.548638 	       113.794068 	       115.606902 	       116.206735 	       116.713258 	       118.526066 	       119.712404 	         0.900000 	         1.800000 	         0.500000 	         1.800000 	  
         4.000000 	        17.000000 	        60.000000 	        40.000000 	         2.000000 	         2.000000 	        15.000000 	         0.488387 	        32.000000 	         2.000000 	         8.000000 	         5.000000 	         1.000000 	         0.934244 	         0.000000 	         1.000000 	       370.000000 	        61.554415 	        43.835540 	     25994.548638 	       120.618806 	       122.831510 	       123.378008 	       123.884530 	       125.697352 	       126.697072 	         0.900000 	         2.200000 	         0.500000 	         1.800000 	  
         4.000000 	        18.000000 	        62.000000 	        40.000000 	         2.000000 	         2.000000 	        15.000000 	         0.468958 	        24.000000 	         6.000000 	        16.000000 	         4.000000 	         1.000000 	         0.903784 	         0.000000 	         0.000000 	       370.000000 	        60.603645 	        41.471769 	     25994.548638 	       127.910050 	       130.122756 	       130.655932 	       131.069144 	       133.175217 	       134.134927 	         1.200000 	         2.200000 	         0.400000 	         2.100000 	  
         4.000000 	        19.000000 	        62.000000 	        35.000000 	         1.000000 	         2.000000 	        15.000000 	         0.526328 	         7.000000 	         9.000000 	        28.000000 	         3.000000 	         2.000000 	         1.244288 	         1.000000 	         0.000000 	       370.000000 	        61.848523 	        40.758469 	     25994.548638 	       135.147977 	       137.160740 	       137.747238 	       138.253754 	       140.066571 	       141.372870 	         1.000000 	         2.000000 	         0.500000 	         1.800000 	  
         4.000000 	        20.000000 	        59.000000 	        38.000000 	         1.000000 	         2.000000 	        15.000000 	         0.568549 	         4.000000 	         5.000000 	        34.000000 	         7.000000 	         2.000000 	         0.793629 	         0.000000 	         1.000000 	       404.000000 	        62.533085 	        40.174254 	     25994.548638 	       142.585849 	       144.398664 	       145.025150 	       145.531680 	       147.437793 	       148.290882 	         1.200000 	         1.800000 	         0.500000 	         1.900000 	  
         4.000000 	        21.000000 	        66.000000 	        32.000000 	         2.000000 	         2.000000 	        15.000000 	         0.586946 	        13.000000 	         6.000000 	        19.000000 	         2.000000 	         2.000000 	         0.779634 	         1.000000 	         0.000000 	       404.000000 	        64.688166 	        37.377635 	     25994.548638 	       149.103980 	       151.316688 	       151.969829 	       152.582991 	       154.395798 	       155.235569 	         0.800000 	         2.200000 	         0.600000 	         1.800000 	  
         4.000000 	        22.000000 	        72.000000 	        33.000000 	         2.000000 	         2.000000 	        15.000000 	         0.458526 	        10.000000 	         5.000000 	        23.000000 	         6.000000 	         2.000000 	         1.079588 	         0.000000 	         1.000000 	       427.000000 	        67.452306 	        35.213459 	     25994.548638 	       156.248603 	       158.061418 	       158.581272 	       158.994489 	       161.207183 	       162.353533 	         1.000000 	         1.800000 	         0.400000 	         2.200000 	  
         4.000000 	        23.000000 	        66.000000 	        35.000000 	         1.000000 	         1.000000 	        15.000000 	         0.598937 	        13.000000 	         1.000000 	        53.000000 	         3.000000 	         2.000000 	         1.063747 	         0.000000 	         0.000000 	       412.000000 	        70.848200 	        33.553383 	     25994.548638 	       163.259932 	       165.472637 	       166.125783 	       166.538990 	       168.351806 	       169.471493 	         0.900000 	         2.200000 	         0.400000 	         1.800000 	  
         4.000000 	        24.000000 	        67.000000 	        36.000000 	         2.000000 	         1.000000 	        15.000000 	         0.710548 	        27.000000 	         9.000000 	        40.000000 	         8.000000 	         2.000000 	         1.119378 	         1.000000 	         1.000000 	       452.000000 	        68.779495 	        34.456090 	     25994.548638 	       170.684480 	       172.897174 	       173.670292 	       174.283454 	       176.096258 	       177.282586 	         1.200000 	         2.200000 	         0.600000 	         1.800000 	  
         4.000000 	        25.000000 	        64.000000 	        41.000000 	         2.000000 	         1.000000 	        15.000000 	         0.565295 	        19.000000 	         2.000000 	        45.000000 	         1.000000 	         2.000000 	         0.787976 	         1.000000 	         0.000000 	       452.000000 	        66.406775 	        37.536275 	     25994.548638 	       178.188996 	       180.201746 	       180.828236 	       181.441393 	       183.347521 	       184.200603 	         0.900000 	         2.000000 	         0.600000 	         1.900000 	  
         4.000000 	        26.000000 	        61.000000 	        45.000000 	         1.000000 	         1.000000 	        15.000000 	         0.540581 	         6.000000 	         6.000000 	        55.000000 	         7.000000 	         2.000000 	         0.750375 	         1.000000 	         0.000000 	       452.000000 	        64.175427 	        40.439131 	     25994.548638 	       185.413601 	       187.226410 	       187.826235 	       188.439392 	       190.545219 	       191.358557 	         1.200000 	         1.800000 	         0.600000 	         2.100000 	  
         4.000000 	        27.000000 	        56.000000 	        41.000000 	         1.000000 	         1.000000 	        15.000000 	         0.537307 	        17.000000 	         2.000000 	        39.000000 	         7.000000 	         2.000000 	         0.741666 	         0.000000 	         1.000000 	       491.000000 	        59.039839 	        41.646679 	     25994.548638 	       192.464904 	       194.677611 	       195.277410 	       195.783958 	       197.689914 	       198.489854 	         1.100000 	         2.200000 	         0.500000 	         1.900000 	  
         4.000000 	        28.000000 	        57.000000 	        44.000000 	         2.000000 	         1.000000 	        15.000000 	         0.677678 	        51.000000 	         2.000000 	         6.000000 	         9.000000 	         1.000000 	         2.298056 	         0.000000 	         1.000000 	       491.000000 	        54.982018 	        43.129967 	     25994.548638 	       199.396257 	       201.409023 	       202.141849 	       202.648658 	       204.861369 	       207.220685 	         0.900000 	         2.000000 	         0.500000 	         2.200000 	  
         4.000000 	        29.000000 	        52.000000 	        43.000000 	         2.000000 	         1.000000 	        15.000000 	         0.632920 	        10.000000 	         9.000000 	        42.000000 	         2.000000 	         2.000000 	         1.330100 	         1.000000 	         0.000000 	       491.000000 	        52.560546 	        46.038228 	     25994.548638 	       208.233733 	       210.446437 	       211.139566 	       211.752722 	       213.765487 	       215.151504 	         1.000000 	         2.200000 	         0.600000 	         2.000000 	  
         4.000000 	        30.000000 	        49.000000 	        53.000000 	         1.000000 	         1.000000 	        15.000000 	         0.551201 	         5.000000 	         9.000000 	        44.000000 	         1.000000 	         2.000000 	         1.116712 	         1.000000 	         0.000000 	       491.000000 	        50.873906 	        48.633189 	     25994.548638 	       216.164802 	       222.176412 	       222.789572 	       223.296088 	       225.202211 	       226.375208 	         1.000000 	         6.000000 	         0.500000 	         1.900000 	  
         4.000000 	        31.000000 	        47.000000 	        55.000000 	         1.000000 	         1.000000 	        15.000000 	         0.528462 	         9.000000 	         3.000000 	        38.000000 	         5.000000 	         2.000000 	         0.998893 	         0.000000 	         1.000000 	       529.000000 	        50.293568 	        52.666882 	     25994.548638 	       227.281613 	       229.494321 	       230.080811 	       230.587340 	       232.600093 	       233.653127 	         0.900000 	         2.200000 	         0.500000 	         2.000000 	  
         4.000000 	        32.000000 	        50.000000 	        48.000000 	         2.000000 	         1.000000 	        15.000000 	         0.674406 	        20.000000 	         5.000000 	        30.000000 	         1.000000 	         1.000000 	         1.094226 	         0.000000 	         0.000000 	       529.000000 	        46.760751 	        54.140566 	     25994.548638 	       234.759471 	       236.572288 	       237.305407 	       237.811694 	       239.824695 	       240.984364 	         1.100000 	         1.800000 	         0.500000 	         2.000000 	  
         4.000000 	        33.000000 	        43.000000 	        52.000000 	         2.000000 	         1.000000 	        15.000000 	         0.580646 	        39.000000 	         3.000000 	         4.000000 	         9.000000 	         1.000000 	         1.053471 	         0.000000 	         1.000000 	       529.000000 	        44.786593 	        56.722204 	     25994.548638 	       241.997397 	       244.010157 	       244.649972 	       245.063197 	       247.169257 	       248.288942 	         1.000000 	         2.000000 	         0.400000 	         2.100000 	  
         4.000000 	        34.000000 	        42.000000 	        56.000000 	         1.000000 	         1.000000 	        15.000000 	         0.526602 	        17.000000 	         8.000000 	        25.000000 	         2.000000 	         1.000000 	         1.135233 	         1.000000 	         1.000000 	       546.000000 	        42.744596 	        59.677780 	     25994.548638 	       249.195338 	       251.008159 	       251.594405 	       252.101184 	       254.007303 	       255.206964 	         0.900000 	         1.800000 	         0.500000 	         1.900000 	  
         4.000000 	        35.000000 	        44.000000 	        60.000000 	         2.000000 	         1.000000 	        15.000000 	         0.566680 	         4.000000 	         7.000000 	        40.000000 	         2.000000 	         2.000000 	         0.769839 	         0.000000 	         1.000000 	       586.000000 	        42.278075 	        60.821007 	     25994.548638 	       256.419941 	       258.232756 	       258.859251 	       259.472401 	       261.285224 	       262.111652 	         1.200000 	         1.800000 	         0.600000 	         1.800000 	  
         4.000000 	        36.000000 	        40.000000 	        62.000000 	         2.000000 	         1.000000 	        15.000000 	         0.632084 	        28.000000 	         4.000000 	        12.000000 	         9.000000 	         1.000000 	         1.286598 	         1.000000 	         1.000000 	       614.000000 	        39.854377 	        63.077756 	     25994.548638 	       263.218001 	       265.430696 	       266.123827 	       266.630351 	       268.536472 	       269.882758 	         1.100000 	         2.200000 	         0.500000 	         1.900000 	  
         4.000000 	        37.000000 	        38.000000 	        58.000000 	         1.000000 	         1.000000 	        15.000000 	         0.637597 	        23.000000 	         1.000000 	        15.000000 	         3.000000 	         2.000000 	         1.736643 	         0.000000 	         1.000000 	       629.000000 	        37.397715 	        63.644444 	     25994.548638 	       270.989108 	       273.001859 	       273.708328 	       274.321495 	       276.134299 	       277.933785 	         1.100000 	         2.000000 	         0.600000 	         1.800000 	  
         4.000000 	        38.000000 	        37.000000 	        66.000000 	         1.000000 	         1.000000 	        15.000000 	         0.722170 	         7.000000 	         3.000000 	        30.000000 	         5.000000 	         2.000000 	         0.829128 	         0.000000 	         1.000000 	       659.000000 	        35.645581 	        66.019026 	     25994.548638 	       279.040141 	       281.052889 	       281.839336 	       282.452500 	       284.465257 	       285.358335 	         1.100000 	         2.000000 	         0.600000 	         2.000000 	  
         4.000000 	        39.000000 	        34.000000 	        65.000000 	         1.000000 	         1.000000 	        15.000000 	         0.593397 	         3.000000 	         3.000000 	        31.000000 	         9.000000 	         2.000000 	         0.725175 	         0.000000 	         1.000000 	       690.000000 	        35.462771 	        67.111668 	     25994.548638 	       286.264736 	       288.477433 	       289.130596 	       289.743743 	       291.849806 	       292.636249 	         0.900000 	         2.200000 	         0.600000 	         2.100000 	  
         4.000000 	        40.000000 	        30.000000 	        67.000000 	         2.000000 	         1.000000 	        15.000000 	         0.867893 	        24.000000 	         1.000000 	         6.000000 	         2.000000 	         1.000000 	         1.244308 	         0.000000 	         0.000000 	       690.000000 	        34.501908 	        66.818895 	     25994.548638 	       293.542659 	       295.555407 	       296.488484 	       297.101631 	       299.114397 	       300.420692 	         0.900000 	         2.000000 	         0.600000 	         2.000000 	  
         4.000000 	        41.000000 	        32.000000 	        72.000000 	         2.000000 	         1.000000 	        15.000000 	         0.570770 	        13.000000 	         7.000000 	        19.000000 	         8.000000 	         2.000000 	         1.174325 	         1.000000 	         1.000000 	       709.000000 	        34.247318 	        67.425934 	     25994.548638 	       301.327096 	       303.539798 	       304.166203 	       304.779439 	       306.592251 	       307.831900 	         0.900000 	         2.200000 	         0.600000 	         1.800000 	  
         4.000000 	        42.000000 	        36.000000 	        65.000000 	         2.000000 	         2.000000 	        15.000000 	         0.783675 	        13.000000 	         1.000000 	        52.000000 	         8.000000 	         2.000000 	         0.637947 	         0.000000 	         1.000000 	       746.000000 	        32.276881 	        67.559531 	     25994.548638 	       308.938249 	       310.751061 	       311.590616 	       312.203982 	       314.216721 	       314.909871 	         1.100000 	         1.800000 	         0.600000 	         2.000000 	  
         4.000000 	        43.000000 	        30.000000 	        61.000000 	         2.000000 	         2.000000 	        15.000000 	         0.634345 	        49.000000 	         3.000000 	        12.000000 	         4.000000 	         1.000000 	         1.653107 	         0.000000 	         0.000000 	       746.000000 	        33.028708 	        65.392752 	     25994.548638 	       316.016221 	       318.028976 	       318.722120 	       319.135328 	       321.241395 	       322.960900 	         1.100000 	         2.000000 	         0.400000 	         2.100000 	  
         4.000000 	        44.000000 	        44.000000 	        67.000000 	         2.000000 	         2.000000 	        15.000000 	         1.102295 	        20.000000 	         8.000000 	        47.000000 	         9.000000 	         2.000000 	         0.965431 	         1.000000 	         1.000000 	       793.000000 	        34.954136 	        62.001464 	     25994.548638 	       324.067251 	       325.880074 	       327.039733 	       327.452947 	       329.465712 	       330.492087 	         1.100000 	         1.800000 	         0.400000 	         2.000000 	  
         4.000000 	        45.000000 	        33.000000 	        59.000000 	         1.000000 	         2.000000 	        15.000000 	         1.088810 	        41.000000 	         4.000000 	        18.000000 	         3.000000 	         1.000000 	         0.913696 	         0.000000 	         1.000000 	       793.000000 	        37.736498 	        59.930421 	     25994.548638 	       331.505129 	       333.317934 	       334.464284 	       334.970801 	       337.076866 	       338.049921 	         1.000000 	         1.800000 	         0.500000 	         2.100000 	  
         4.000000 	        46.000000 	        45.000000 	        60.000000 	         1.000000 	         2.000000 	        15.000000 	         0.539428 	        54.000000 	         1.000000 	         6.000000 	         5.000000 	         1.000000 	         0.945748 	         0.000000 	         0.000000 	       793.000000 	        42.558703 	        56.249941 	     25994.548638 	       339.262912 	       341.475602 	       342.075437 	       342.688412 	       344.901294 	       345.901005 	         1.200000 	         2.200000 	         0.600000 	         2.200000 	  
